workload,source,family,role,assignment,transformation,machine,model,tiles,ccz_share,regime,makespan,depth,t_count,ccz_count,teq_demand,t_stalls,ccz_stalls,total_stalls,t_waste,ccz_waste,peak_stage_demand,mean_stage_demand,burstiness,stages,parallelism,space_time,factory_tiles,utilisation,baseline_makespan,improvement
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace1,A_3200_0.5,A,3200,0.5,abundant,272,271,0,39,78.0,0,1,1,3435,912,2.0,2.0,0.0,39,1.745,864688,3179,0.014,298,0.0872
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace2,A_3200_0.5,A,3200,0.5,abundant,210,209,0,39,78.0,0,1,1,2618,685,4.0,3.0,0.3333,26,2.263,667590,3179,0.0181,298,0.2953
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace4,A_3200_0.5,A,3200,0.5,abundant,196,195,0,39,78.0,0,1,1,2433,633,8.0,3.9,0.6379,20,2.426,623084,3179,0.0194,298,0.3423
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace8,A_3200_0.5,A,3200,0.5,abundant,188,187,0,39,78.0,0,1,1,2328,604,14.0,4.11,0.8581,19,2.529,597652,3179,0.0202,298,0.3691
qt_aliassamp16,qualtran,state_preparation,target,t,conventional,A_400_0.5,A,400,0.5,constrained,347,341,156,0,156.0,6,0,6,366,140,24.0,7.09,0.7593,22,1.387,143658,414,0.1705,347,0.0
qt_aliassamp16,qualtran,state_preparation,target,t,commuting,A_400_0.5,A,400,0.5,constrained,225,218,156,0,156.0,8,0,8,166,79,36.0,8.67,0.9881,18,2.17,93150,414,0.263,347,0.3516
qt_aliassamp16,qualtran,state_preparation,target,t,conventional_pace4,A_400_0.5,A,400,0.5,constrained,358,352,156,0,156.0,6,0,6,384,145,16.0,6.5,0.5565,24,1.344,148212,414,0.1653,347,-0.0317
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace1,A_400_0.5,A,400,0.5,constrained,355,349,156,0,156.0,6,0,6,379,144,4.0,4.0,0.0,39,1.355,146970,414,0.1667,347,-0.0231
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace2,A_400_0.5,A,400,0.5,constrained,267,261,156,0,156.0,6,0,6,235,100,8.0,6.0,0.3333,26,1.812,110538,414,0.2216,347,0.2305
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace4,A_400_0.5,A,400,0.5,constrained,241,235,156,0,156.0,6,0,6,192,87,16.0,7.8,0.6379,20,2.013,99774,414,0.2455,347,0.3055
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace8,A_400_0.5,A,400,0.5,constrained,231,225,156,0,156.0,6,0,6,176,82,28.0,8.21,0.8581,19,2.102,95634,414,0.2562,347,0.3343
qt_aliassamp16,qualtran,state_preparation,target,t,conventional,A_3200_0.5,A,3200,0.5,abundant,347,341,156,0,156.0,6,0,6,4268,1226,24.0,7.09,0.7593,22,1.387,1103113,3179,0.0219,347,0.0
