toffoli_scale,lanes,capacity_target,ccz_share,cheaper_route,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
1.5,4,1.0,0.5,t,597,366,proportional_split,366,1,0.3869,0.0,0.5,0.6
1.5,4,1.0,0.75,t,726,546,proportional_split,456,1,0.3719,0.1648,0.375,0.7143
2.0,2,0.25,0.25,t,887,483,proportional_split,483,1,0.4555,0.0,0.5,0.6667
2.0,2,0.25,0.5,t,963,735,two_term_descent,723,1,0.2492,0.0163,0.25,0.8571
2.0,2,0.25,0.75,t,963,735,two_term_descent,723,1,0.2492,0.0163,0.25,0.8571
2.0,2,0.5,0.25,t,450,381,two_term_descent,354,1,0.2133,0.0709,0.25,0.4
2.0,2,0.5,0.5,t,596,449,two_term_descent,449,1,0.2466,0.0,0.25,0.4
2.0,2,0.5,0.75,t,963,735,two_term_descent,723,1,0.2492,0.0163,0.25,0.8571
2.0,2,1.0,0.25,t,231,231,uniform_min_teq,231,1,0.0,0.0,0.0,0.0
2.0,2,1.0,0.5,t,304,231,two_term_descent,231,1,0.2401,0.0,0.25,0.4
2.0,2,1.0,0.75,t,486,302,proportional_split,302,1,0.3786,0.0,0.5,0.6667
2.0,3,0.25,0.25,t,1327,963,proportional_split,741,1,0.4416,0.2305,0.5,0.6667
2.0,3,0.25,0.5,t,1443,963,proportional_split,963,1,0.3326,0.0,0.3333,0.8
2.0,3,0.25,0.75,t,1443,963,proportional_split,963,1,0.3326,0.0,0.3333,0.8
2.0,3,0.5,0.25,t,670,483,two_term_descent,483,1,0.2791,0.0,0.3333,0.5
2.0,3,0.5,0.5,t,889,741,two_term_descent,596,1,0.3296,0.1957,0.3333,0.5
2.0,3,0.5,0.75,t,1443,963,proportional_split,963,1,0.3326,0.0,0.3333,0.8
2.0,3,1.0,0.25,t,341,341,uniform_min_teq,300,1,0.1202,0.1202,0.1667,0.2857
2.0,3,1.0,0.5,t,451,381,two_term_descent,304,1,0.3259,0.2021,0.3333,0.5
2.0,3,1.0,0.75,t,726,453,two_term_descent,449,1,0.3815,0.0088,0.5,0.6667
2.0,4,0.25,0.25,t,1767,1443,proportional_split,963,1,0.455,0.3326,0.5,0.6667
2.0,4,0.25,0.5,t,1923,1443,proportional_split,1322,1,0.3125,0.0839,0.375,0.7692
2.0,4,0.25,0.75,t,1923,1443,proportional_split,1322,1,0.3125,0.0839,0.375,0.7692
2.0,4,0.5,0.25,t,890,741,two_term_descent,670,1,0.2472,0.0958,0.25,0.4
2.0,4,0.5,0.5,t,1182,963,proportional_split,742,1,0.3723,0.2295,0.375,0.5455
2.0,4,0.5,0.75,t,1923,1443,proportional_split,1322,1,0.3125,0.0839,0.375,0.7692
2.0,4,1.0,0.25,t,451,425,two_term_descent,396,1,0.122,0.0682,0.125,0.2222
2.0,4,1.0,0.5,t,597,486,proportional_split,381,1,0.3618,0.216,0.375,0.5455
2.0,4,1.0,0.75,t,966,726,proportional_split,596,1,0.383,0.1791,0.5,0.6667
