kernel,control,setting,capacity_target,ccz_share,t_rate,ccz_rate,buffer,latency,p_success,seed,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
heterostage_l3,conversion,CCZ->2T only,0.5,0.75,0.0909,0.1667,32,0,1.0,0,321,321,uniform_min_teq,321,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,CCZ->2T only,1.0,0.25,0.7273,0.1667,32,0,1.0,0,189,189,uniform_oracle,189,1,0.0,0.0,0.0,0.3827
heterostage_l3,conversion,CCZ->2T only,1.0,0.5,0.5455,0.3333,32,0,1.0,0,144,144,uniform_min_teq,144,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,CCZ->2T only,1.0,0.75,0.2727,0.3333,32,0,1.0,0,152,152,uniform_min_teq,152,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,both directions,0.25,0.25,0.1818,0.1667,32,0,1.0,0,278,278,uniform_min_teq,278,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,both directions,0.25,0.5,0.0909,0.1667,32,0,1.0,0,321,321,uniform_min_teq,321,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,both directions,0.25,0.75,0.0909,0.1667,32,0,1.0,0,321,321,uniform_min_teq,321,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,both directions,0.5,0.25,0.3636,0.1667,32,0,1.0,0,241,241,uniform_oracle,241,1,0.0,0.0,0.0,0.3827
heterostage_l3,conversion,both directions,0.5,0.5,0.2727,0.1667,32,0,1.0,0,261,261,uniform_min_teq,261,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,both directions,0.5,0.75,0.0909,0.1667,32,0,1.0,0,321,321,uniform_min_teq,321,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,both directions,1.0,0.25,0.7273,0.1667,32,0,1.0,0,180,180,uniform_oracle,180,1,0.0,0.0,0.0,0.3827
heterostage_l3,conversion,both directions,1.0,0.5,0.5455,0.3333,32,0,1.0,0,136,136,uniform_min_teq,136,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,both directions,1.0,0.75,0.2727,0.3333,32,0,1.0,0,152,152,uniform_min_teq,152,1,0.0,0.0,0.0,0.697
heterostage_l3,failures,p=0.7 seed=0,0.5,0.5,0.1909,0.1167,32,0,0.7,0,333,333,uniform_min_teq,333,1,0.0,0.0,0.0,0.697
heterostage_l3,failures,p=0.7 seed=1,0.5,0.5,0.1909,0.1167,32,0,0.7,1,381,381,uniform_min_teq,381,1,0.0,0.0,0.0,0.697
heterostage_l3,failures,p=0.7 seed=2,0.5,0.5,0.1909,0.1167,32,0,0.7,2,417,417,uniform_min_teq,417,1,0.0,0.0,0.0,0.697
heterostage_l3,failures,p=0.9 seed=0,0.5,0.5,0.2455,0.15,32,0,0.9,0,327,327,uniform_min_teq,327,1,0.0,0.0,0.0,0.697
heterostage_l3,failures,p=0.9 seed=1,0.5,0.5,0.2455,0.15,32,0,0.9,1,315,315,uniform_min_teq,315,1,0.0,0.0,0.0,0.697
heterostage_l3,failures,p=0.9 seed=2,0.5,0.5,0.2455,0.15,32,0,0.9,2,315,315,uniform_min_teq,315,1,0.0,0.0,0.0,0.697
heterostage_l3,failures,p=1 seed=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,latency,L=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,latency,L=10,0.5,0.5,0.2727,0.1667,32,10,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,0.697
heterostage_l3,latency,L=200,0.5,0.5,0.2727,0.1667,32,200,1.0,0,479,479,uniform_min_teq,479,1,0.0,0.0,0.0,0.697
heterostage_l3,latency,L=50,0.5,0.5,0.2727,0.1667,32,50,1.0,0,329,329,uniform_min_teq,329,1,0.0,0.0,0.0,0.697
heterostage_l3_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,204,204,uniform_min_teq,204,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,204,204,uniform_min_teq,204,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,204,204,uniform_min_teq,204,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,139,139,uniform_min_teq,139,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,139,139,uniform_min_teq,139,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,139,139,uniform_min_teq,139,1,0.0,0.0,0.0,1.0
heterostage_l3_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,830,830,uniform_min_teq,830,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,830,830,uniform_min_teq,830,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,830,830,uniform_min_teq,830,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,421,421,uniform_min_teq,421,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,421,421,uniform_min_teq,421,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,421,421,uniform_min_teq,421,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,236,236,uniform_min_teq,236,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,236,236,uniform_min_teq,236,1,0.0,0.0,0.0,0.0
heterostage_l3_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,236,236,uniform_min_teq,236,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1,baseline,two banks,0.25,0.25,0.1818,0.1667,32,0,1.0,0,363,363,uniform_oracle,363,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,baseline,two banks,0.25,0.5,0.0909,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,baseline,two banks,0.25,0.75,0.0909,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,baseline,two banks,0.5,0.25,0.3636,0.1667,32,0,1.0,0,285,285,uniform_oracle,285,1,0.0,0.0,0.0,0.3827
mixed_w32_c16_l1,baseline,two banks,0.5,0.5,0.2727,0.1667,32,0,1.0,0,317,317,uniform_oracle,317,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,baseline,two banks,0.5,0.75,0.0909,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,baseline,two banks,1.0,0.25,0.7273,0.1667,32,0,1.0,0,244,244,uniform_oracle,244,1,0.0,0.0,0.0,0.375
mixed_w32_c16_l1,baseline,two banks,1.0,0.5,0.5455,0.3333,32,0,1.0,0,209,209,uniform_min_teq,209,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,baseline,two banks,1.0,0.75,0.2727,0.3333,32,0,1.0,0,209,209,uniform_min_teq,209,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,buffer,B=-1,0.5,0.5,0.2727,0.1667,-1,0,1.0,0,309,309,uniform_oracle,309,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,buffer,B=128,0.5,0.5,0.2727,0.1667,128,0,1.0,0,309,309,uniform_oracle,309,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,buffer,B=2,0.5,0.5,0.2727,0.1667,2,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,buffer,B=32,0.5,0.5,0.2727,0.1667,32,0,1.0,0,317,317,uniform_oracle,317,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,buffer,B=8,0.5,0.5,0.2727,0.1667,8,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
