kernel,family,capacity_target,ccz_share,supply_pressure,imbalance,supply_ccz_share,uniform_mix_mismatch,uniform_waste,concurrency,decision_sites,stages,max_stage_width,serial_fraction,mean_variants_per_site,min_cross_resource_cost_ratio,families,headroom_over_best_simple,headroom_over_uniform,oracle_exhaustive,fails
grover_c16_i2,grover,1.0,0.25,0.6489,2.1818,0.3143,0.0857,0.2991,1,4,4,1,1.0,4.5,1.0,2,0.0223,0.0223,1,0
grover_c16_i2,grover,1.0,0.5,0.5323,1.2222,0.55,0.45,0.4774,1,4,4,1,1.0,4.5,1.0,2,0.009,0.009,1,0
grover_c16_i2,grover,1.0,0.75,0.7565,2.4444,0.7097,0.2903,0.3256,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,1.0,0.9,0.7639,11.0,0.9167,0.0833,0.3137,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,2.0,0.1,0.4031,5.4545,0.155,0.245,0.6175,1,4,4,1,1.0,4.5,1.0,2,0.0988,0.0988,1,1
grover_c16_i2,grover,2.0,0.25,0.6907,2.1818,0.3143,0.0857,0.5655,1,4,4,1,1.0,4.5,1.0,2,0.0553,0.0553,1,1
grover_c16_i2,grover,2.0,0.5,0.4167,1.0,0.5,0.5,0.6257,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,2.0,0.75,0.6551,2.4444,0.7097,0.2903,0.5883,1,4,4,1,1.0,4.5,1.0,2,0.0663,0.0663,1,1
grover_c16_i2,grover,2.0,0.9,0.9167,9.1667,0.9016,0.0984,0.1483,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,0.25,0.1,1.0939,1.8333,0.6471,0.0393,0.1373,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,0.25,0.25,1.0939,1.8333,0.6471,0.0393,0.1373,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,0.25,0.5,1.7876,3.6667,0.7858,0.2142,0.2182,1,4,4,1,1.0,4.5,1.0,2,0.041,0.0878,1,0
grover_c32_i2,grover,0.25,0.75,1.7876,3.6667,0.7858,0.2142,0.2182,1,4,4,1,1.0,4.5,1.0,2,0.041,0.0878,1,0
grover_c32_i2,grover,0.25,0.9,1.7876,3.6667,0.7858,0.2142,0.2182,1,4,4,1,1.0,4.5,1.0,2,0.041,0.0878,1,0
grover_c32_i2,grover,0.5,0.1,0.7153,1.3636,0.4232,0.1846,0.4359,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,0.5,0.25,0.8086,1.0909,0.4783,0.1295,0.3623,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,0.5,0.5,0.9298,1.2222,0.5501,0.0577,0.2667,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,0.5,0.75,1.7876,3.6667,0.7858,0.2142,0.2182,1,4,4,1,1.0,4.5,1.0,2,0.041,0.0878,1,0
grover_c32_i2,grover,0.5,0.9,1.7876,3.6667,0.7858,0.2142,0.2182,1,4,4,1,1.0,4.5,1.0,2,0.041,0.0878,1,0
grover_c32_i2,grover,1.0,0.1,0.9473,2.7273,0.2683,0.0244,0.3196,1,4,4,1,1.0,4.5,1.0,2,0.0,0.1186,1,0
grover_c32_i2,grover,1.0,0.25,0.7145,2.1818,0.3143,0.0704,0.3051,1,4,4,1,1.0,4.5,1.0,2,0.0,0.1573,1,0
grover_c32_i2,grover,1.0,0.5,0.6257,1.2222,0.55,0.0578,0.4236,1,4,4,1,1.0,4.5,1.0,2,0.0719,0.0719,1,1
grover_c32_i2,grover,1.0,0.75,0.8073,2.4444,0.7097,0.1019,0.2809,1,4,4,1,1.0,4.5,1.0,2,0.1026,0.1026,1,1
grover_c32_i2,grover,1.0,0.9,1.0625,11.0,0.9167,0.0833,0.211,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,2.0,0.1,0.5471,5.4545,0.155,0.0889,0.4536,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,2.0,0.25,0.6742,2.1818,0.3143,0.1116,0.2928,1,4,4,1,1.0,4.5,1.0,2,0.1181,0.1181,1,1
grover_c32_i2,grover,2.0,0.5,0.5795,1.0,0.5,0.5,0.5696,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c32_i2,grover,2.0,0.75,0.8308,2.4444,0.7097,0.2903,0.4805,1,4,4,1,1.0,4.5,1.0,2,0.0431,0.0431,1,0
grover_c32_i2,grover,2.0,0.9,0.8445,9.1667,0.9016,0.0984,0.1411,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0258,1,0
grover_c8_i2,grover,0.25,0.1,1.2335,1.8333,0.6471,0.3529,0.3589,1,4,4,1,1.0,4.5,1.0,2,0.0206,0.1284,1,0
grover_c8_i2,grover,0.25,0.25,1.2335,1.8333,0.6471,0.3529,0.3589,1,4,4,1,1.0,4.5,1.0,2,0.0206,0.1284,1,0
grover_c8_i2,grover,0.25,0.5,1.4302,3.6667,0.7858,0.2142,0.2216,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,0.25,0.75,1.4302,3.6667,0.7858,0.2142,0.2216,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,0.25,0.9,1.4302,3.6667,0.7858,0.2142,0.2216,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
