family,kernel,concurrency,size,decision_sites,assignment_space,symmetric_space,capacity_target,ccz_share,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,sim_descent_regret,oracle_heterogeneity,oracle_ccz_share_of_demand,seconds_uniform_oracle,seconds_sim_descent,seconds_global_oracle
multiplier_size,multiplier_w32_r8,4,32,7,279936,15876,1.0,0.5,661,660,two_term_descent,523,523,0,0.2088,0.2076,1.0,0.2857,0.6502,0.1346,3.4962,5.7962
multiplier_size,multiplier_w32_r8,4,32,7,279936,15876,1.0,0.75,661,659,two_term_descent,571,571,0,0.1362,0.1335,1.0,0.2857,0.7571,0.1427,4.2718,6.9772
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,0.25,0.25,2649,2649,uniform_min_teq,2250,2250,0,0.1506,0.1506,1.0,0.4286,0.6517,0.3527,11.7139,17.062
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,0.25,0.5,2649,2463,two_term_descent,2463,2463,0,0.0702,0.0,1.0,0.1429,0.8686,0.4045,12.6785,18.4035
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,0.25,0.75,2649,2463,two_term_descent,2463,2463,0,0.0702,0.0,1.0,0.1429,0.8686,0.4101,12.8355,19.2379
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,0.5,0.25,2401,2090,two_term_descent,1785,1785,0,0.2566,0.1459,1.0,0.5714,0.4774,0.3202,10.1545,16.5632
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,0.5,0.5,2649,2649,uniform_min_teq,2055,2055,0,0.2242,0.2242,1.0,0.4286,0.5583,0.3063,8.9117,16.0204
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,0.5,0.75,2649,2463,two_term_descent,2463,2463,0,0.0702,0.0,1.0,0.1429,0.8686,0.4088,12.6536,19.7346
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,1.0,0.25,1410,1410,uniform_oracle,1392,1392,0,0.0128,0.0128,1.0,0.5714,0.3343,0.3182,8.2412,11.6713
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,1.0,0.5,1333,1333,uniform_min_teq,1051,1051,0,0.2116,0.2116,1.0,0.2857,0.6486,0.2635,8.8502,12.8718
multiplier_size,multiplier_w64_r8,4,64,7,279936,15876,1.0,0.75,1333,1333,uniform_min_teq,1211,1211,0,0.0915,0.0915,1.0,0.2857,0.7535,0.3026,9.5575,14.6502
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,0.25,0.25,5337,5337,uniform_min_teq,4581,4581,0,0.1417,0.1417,1.0,0.2857,0.7517,0.7217,21.4244,38.6434
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,0.25,0.5,5337,4959,two_term_descent,4959,4959,0,0.0708,0.0,1.0,0.1429,0.8676,0.9021,25.6266,38.7866
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,0.25,0.75,5337,4959,two_term_descent,4959,4959,0,0.0708,0.0,1.0,0.1429,0.8676,0.8322,26.169,37.6275
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,0.5,0.25,4865,4298,two_term_descent,3674,3674,0,0.2448,0.1452,1.0,0.5714,0.4755,0.6993,19.4193,31.5593
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,0.5,0.5,5337,5337,uniform_min_teq,4197,4197,0,0.2136,0.2136,1.0,0.2857,0.6478,0.5946,19.6077,31.2206
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,0.5,0.75,5337,4959,two_term_descent,4959,4959,0,0.0708,0.0,1.0,0.1429,0.8676,0.8161,23.3525,37.5681
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,1.0,0.25,2818,2818,uniform_oracle,2800,2800,0,0.0064,0.0064,1.0,0.5714,0.3338,0.6678,16.6421,24.815
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,1.0,0.5,2677,2677,uniform_min_teq,2107,2107,0,0.2129,0.2129,1.0,0.2857,0.6478,0.6713,18.1439,27.6172
multiplier_size,multiplier_w128_r8,4,128,7,279936,15876,1.0,0.75,2677,2677,uniform_min_teq,2488,2488,0,0.0706,0.0706,1.0,0.1429,0.8676,0.6995,16.6495,27.5415
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,0.25,0.25,183,183,uniform_min_teq,183,183,1,0.0,0.0,1.0,0.0,1.0,0.0095,0.0609,0.0157
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,0.25,0.5,183,183,uniform_min_teq,183,183,1,0.0,0.0,1.0,0.0,1.0,0.0109,0.0671,0.0212
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,0.25,0.75,183,183,uniform_min_teq,183,183,1,0.0,0.0,1.0,0.0,1.0,0.0107,0.0665,0.0204
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,0.5,0.25,183,176,two_term_descent,176,176,1,0.0383,0.0,1.0,0.5,0.3333,0.0085,0.0663,0.0137
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,0.5,0.5,183,183,uniform_min_teq,183,183,1,0.0,0.0,1.0,0.0,1.0,0.0082,0.0487,0.0161
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,0.5,0.75,183,183,uniform_min_teq,183,183,1,0.0,0.0,1.0,0.0,1.0,0.0108,0.0668,0.026
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,1.0,0.25,177,95,two_term_descent,95,95,1,0.4633,0.0,1.0,0.5,0.3333,0.0087,0.0691,0.0134
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,1.0,0.5,96,96,uniform_min_teq,96,96,1,0.0,0.0,1.0,0.0,1.0,0.0078,0.0457,0.0132
oracle_bank,oracle_bank_c16_l2,2,16,2,16,10,1.0,0.75,96,96,uniform_min_teq,96,96,1,0.0,0.0,1.0,0.0,1.0,0.009,0.0497,0.0143
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,0.25,0.25,363,338,two_term_descent,338,338,1,0.0689,0.0,1.0,0.25,0.6,0.0196,0.2623,0.0835
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,0.25,0.5,363,363,uniform_min_teq,363,363,1,0.0,0.0,1.0,0.0,1.0,0.018,0.1928,0.1163
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,0.25,0.75,363,363,uniform_min_teq,363,363,1,0.0,0.0,1.0,0.0,1.0,0.019,0.1874,0.1778
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,0.5,0.25,363,273,two_term_descent,273,273,1,0.2479,0.0,1.0,0.25,0.6,0.0145,0.1936,0.0763
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,0.5,0.5,363,273,two_term_descent,273,273,1,0.2479,0.0,1.0,0.25,0.6,0.0175,0.187,0.0821
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,0.5,0.75,363,363,uniform_min_teq,363,363,1,0.0,0.0,1.0,0.0,1.0,0.019,0.1817,0.1188
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,1.0,0.25,342,183,two_term_descent,183,183,1,0.4649,0.0,1.0,0.5,0.3333,0.0148,0.1812,0.0658
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,1.0,0.5,186,141,two_term_descent,141,141,1,0.2419,0.0,1.0,0.25,0.6,0.0121,0.1569,0.0634
oracle_bank,oracle_bank_c16_l4,4,16,4,256,35,1.0,0.75,186,186,uniform_min_teq,186,186,1,0.0,0.0,1.0,0.0,1.0,0.0128,0.1177,0.074
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,0.25,0.25,723,633,two_term_descent,633,633,1,0.1245,0.0,1.0,0.125,0.7778,0.0288,0.7481,0.9745
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,0.25,0.5,723,663,two_term_descent,663,663,1,0.083,0.0,1.0,0.125,0.7778,0.0435,1.0758,1.2919
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,0.25,0.75,723,663,two_term_descent,663,663,1,0.083,0.0,1.0,0.125,0.7778,0.0586,1.0481,1.2185
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,0.5,0.25,723,506,two_term_descent,506,506,1,0.3001,0.0,1.0,0.375,0.4545,0.0279,0.8193,0.7111
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,0.5,0.5,723,543,two_term_descent,543,543,1,0.249,0.0,1.0,0.25,0.6,0.0363,0.7273,0.8091
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,0.5,0.75,723,663,two_term_descent,663,663,1,0.083,0.0,1.0,0.125,0.7778,0.0389,0.9728,1.1539
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,1.0,0.25,672,363,two_term_descent,363,363,1,0.4598,0.0,1.0,0.5,0.3333,0.0269,0.7721,0.7451
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,1.0,0.5,366,276,two_term_descent,276,276,1,0.2459,0.0,1.0,0.25,0.6,0.0248,0.716,0.746
oracle_bank,oracle_bank_c16_l8,8,16,8,65536,165,1.0,0.75,366,321,two_term_descent,321,321,1,0.123,0.0,1.0,0.125,0.7778,0.0304,0.6559,0.7708
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,0.25,0.25,1443,1173,two_term_descent,1173,1173,1,0.1871,0.0,1.0,0.1875,0.6842,0.0755,3.1998,11.0352
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,0.25,0.5,1443,1323,two_term_descent,1323,1323,1,0.0832,0.0,1.0,0.125,0.7778,0.1017,4.0631,15.0811
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,0.25,0.75,1443,1323,two_term_descent,1323,1323,1,0.0832,0.0,1.0,0.125,0.7778,0.0873,3.8456,15.1048
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,0.5,0.25,1443,993,two_term_descent,993,993,1,0.3119,0.0,1.0,0.3125,0.5238,0.0642,3.3478,9.3445
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,0.5,0.5,1443,1083,two_term_descent,1083,1083,1,0.2495,0.0,1.0,0.25,0.6,0.067,3.116,9.9418
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,0.5,0.75,1443,1323,two_term_descent,1323,1323,1,0.0832,0.0,1.0,0.125,0.7778,0.0901,3.848,15.1582
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,1.0,0.25,1332,723,two_term_descent,723,723,1,0.4572,0.0,1.0,0.5,0.3333,0.0706,3.2934,8.7929
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,1.0,0.5,726,546,two_term_descent,546,546,1,0.2479,0.0,1.0,0.25,0.6,0.066,2.9152,8.746
oracle_bank,oracle_bank_c16_l16,16,16,16,4294967296,969,1.0,0.75,726,636,two_term_descent,636,636,1,0.124,0.0,1.0,0.125,0.7778,0.0643,2.828,10.1625
trotter,trotter_t1_l1_b10,1,10,1,5,5,0.25,0.25,123,123,uniform_min_teq,123,123,1,0.0,0.0,1.0,0.0,1.0,0.0162,0.0675,0.0096
trotter,trotter_t1_l1_b10,1,10,1,5,5,0.25,0.5,123,123,uniform_min_teq,123,123,1,0.0,0.0,1.0,0.0,1.0,0.0178,0.0901,0.0123
trotter,trotter_t1_l1_b10,1,10,1,5,5,0.25,0.75,123,123,uniform_min_teq,123,123,1,0.0,0.0,1.0,0.0,1.0,0.0175,0.0915,0.0121
trotter,trotter_t1_l1_b10,1,10,1,5,5,0.5,0.25,120,120,min_weighted_count,120,120,1,0.0,0.0,1.0,0.0,0.0,0.0144,0.0575,0.0084
trotter,trotter_t1_l1_b10,1,10,1,5,5,0.5,0.5,123,123,uniform_min_teq,123,123,1,0.0,0.0,1.0,0.0,1.0,0.011,0.0606,0.0089
trotter,trotter_t1_l1_b10,1,10,1,5,5,0.5,0.75,123,123,uniform_min_teq,123,123,1,0.0,0.0,1.0,0.0,1.0,0.0133,0.095,0.0129
trotter,trotter_t1_l1_b10,1,10,1,5,5,1.0,0.25,91,91,min_weighted_count,91,91,1,0.0,0.0,1.0,0.0,0.0,0.0137,0.0544,0.0079
trotter,trotter_t1_l1_b10,1,10,1,5,5,1.0,0.5,66,66,uniform_min_teq,66,66,1,0.0,0.0,1.0,0.0,1.0,0.0095,0.0541,0.0081
trotter,trotter_t1_l1_b10,1,10,1,5,5,1.0,0.75,66,66,uniform_min_teq,66,66,1,0.0,0.0,1.0,0.0,1.0,0.0104,0.058,0.0081
trotter,trotter_t2_l1_b10,2,10,2,25,15,0.25,0.25,243,227,two_term_descent,227,227,1,0.0658,0.0,1.0,0.5,0.5,0.0277,0.2468,0.0469
trotter,trotter_t2_l1_b10,2,10,2,25,15,0.25,0.5,243,243,uniform_min_teq,243,243,1,0.0,0.0,1.0,0.0,1.0,0.0319,0.3007,0.0609
trotter,trotter_t2_l1_b10,2,10,2,25,15,0.25,0.75,243,243,uniform_min_teq,243,243,1,0.0,0.0,1.0,0.0,1.0,0.0307,0.3075,0.0671
trotter,trotter_t2_l1_b10,2,10,2,25,15,0.5,0.25,230,123,two_term_descent,123,123,1,0.4652,0.0,1.0,0.5,0.5,0.0251,0.1928,0.0366
trotter,trotter_t2_l1_b10,2,10,2,25,15,0.5,0.5,243,156,two_term_descent,156,156,1,0.358,0.0,1.0,0.5,0.5,0.0205,0.2267,0.0457
trotter,trotter_t2_l1_b10,2,10,2,25,15,0.5,0.75,243,243,uniform_min_teq,243,243,1,0.0,0.0,1.0,0.0,1.0,0.0275,0.2854,0.0546
trotter,trotter_t2_l1_b10,2,10,2,25,15,1.0,0.25,121,121,min_weighted_count,121,121,1,0.0,0.0,1.0,0.0,0.0,0.0233,0.15,0.0318
trotter,trotter_t2_l1_b10,2,10,2,25,15,1.0,0.5,126,91,two_term_descent,91,91,1,0.2778,0.0,1.0,0.5,0.5,0.017,0.1879,0.0382
trotter,trotter_t2_l1_b10,2,10,2,25,15,1.0,0.75,126,126,uniform_min_teq,126,126,1,0.0,0.0,1.0,0.0,1.0,0.0275,0.1622,0.0351
trotter,trotter_t3_l1_b10,3,10,3,125,35,0.25,0.25,363,243,two_term_descent,243,243,1,0.3306,0.0,1.0,0.3333,0.6667,0.0384,0.5074,0.1398
trotter,trotter_t3_l1_b10,3,10,3,125,35,0.25,0.5,363,363,uniform_min_teq,363,363,1,0.0,0.0,1.0,0.0,1.0,0.0424,0.5477,0.1619
trotter,trotter_t3_l1_b10,3,10,3,125,35,0.25,0.75,363,363,uniform_min_teq,363,363,1,0.0,0.0,1.0,0.0,1.0,0.0366,0.4804,0.1673
trotter,trotter_t3_l1_b10,3,10,3,125,35,0.5,0.25,340,230,two_term_descent,230,230,1,0.3235,0.0,1.0,0.3333,0.3333,0.0243,0.3319,0.1025
trotter,trotter_t3_l1_b10,3,10,3,125,35,0.5,0.5,363,243,two_term_descent,243,243,1,0.3306,0.0,1.0,0.3333,0.6667,0.0271,0.485,0.1294
trotter,trotter_t3_l1_b10,3,10,3,125,35,0.5,0.75,363,363,uniform_min_teq,363,363,1,0.0,0.0,1.0,0.0,1.0,0.0436,0.5702,0.192
trotter,trotter_t3_l1_b10,3,10,3,125,35,1.0,0.25,176,123,two_term_descent,123,123,1,0.3011,0.0,1.0,0.3333,0.3333,0.025,0.3002,0.0939
