program,source,cliffords,gates,decision_sites,stages,max_stage_width,model,capacity_or_tiles,ccz_share,t_rate,ccz_rate,supply_pressure,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_stage_dp_r5,seconds_stage_dp_r5,makespan_stage_dp_sim,seconds_stage_dp_sim,seconds_sim_descent,makespan_reference,reference_exhaustive,reference_heterogeneity,reference_ccz_fraction,best_simple,makespan_best_simple,headroom_over_best_simple,headroom_over_uniform,regret_stage_dp_r5,regret_stage_dp_sim,regret_sim_descent,regret_best_simple
qmpa_add8,qmpa,kept,49,8,8,1,A,1.0,0.1,0.9091,0.1667,0.174,76,98,76,76,76,76,98,76,76,0.019,84,0.071,0.026,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.1053,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,1.0,0.25,0.7273,0.1667,0.2039,76,99,76,76,76,76,99,76,76,0.018,85,0.066,0.026,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.1184,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,1.0,0.5,0.5455,0.3333,0.1784,76,76,76,76,76,76,76,76,76,0.033,76,0.093,0.025,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,1.0,0.75,0.2727,0.3333,0.2302,76,76,76,76,76,76,76,76,76,0.033,76,0.084,0.025,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,1.0,0.9,0.0909,0.5,0.1982,76,76,76,76,76,76,76,76,76,0.011,76,0.028,0.027,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,2.0,0.1,1.8182,0.1667,0.1005,76,97,76,76,76,76,97,76,76,0.02,83,0.095,0.029,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0921,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,2.0,0.25,1.4545,0.3333,0.1019,76,97,76,76,76,76,97,76,76,0.036,76,0.139,0.028,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,2.0,0.5,1.0,0.5,0.1081,76,76,76,76,76,76,98,76,76,0.035,76,0.118,0.027,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,2.0,0.75,0.5455,0.6667,0.1151,76,76,76,76,76,76,76,76,76,0.033,76,0.098,0.026,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,2.0,0.9,0.1818,0.8333,0.117,76,76,76,76,76,76,76,76,76,0.011,76,0.031,0.027,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,B,400,0.25,1.8182,0.1667,0.1005,79,100,79,79,79,79,100,79,84,0.054,90,1.045,0.109,79,1,0.0,1.0,uniform_min_teq,79,0.0,0.0,1.0633,1.1392,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,B,400,0.5,1.2727,0.3333,0.1115,79,79,79,79,79,79,101,79,79,0.05,89,0.71,0.091,79,1,0.0,1.0,uniform_min_teq,79,0.0,0.0,1.0,1.1266,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,B,400,0.75,0.7273,0.6667,0.1049,79,79,79,79,79,79,79,79,79,0.048,79,0.377,0.072,79,1,0.0,1.0,uniform_min_teq,79,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,C,200,0.5,0.6364,0.1667,0.223,78,78,78,78,78,78,100,78,92,0.046,92,0.142,0.06,78,1,0.0,1.0,uniform_min_teq,78,0.0,0.0,1.1795,1.1795,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,C,400,0.25,1.8182,0.1667,0.1005,79,98,79,79,79,79,98,79,90,0.042,88,0.614,0.11,79,1,0.0,1.0,uniform_min_teq,79,0.0,0.0,1.1392,1.1139,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,C,400,0.5,1.2727,0.3333,0.1115,79,79,79,79,79,79,97,79,83,0.055,85,0.33,0.091,79,1,0.0,1.0,uniform_min_teq,79,0.0,0.0,1.0506,1.0759,1.0,1.0
