workload,family,seed,n,C,B,schedule,T_ref_asap,T_static,T_exe,ratio_to_T_ref,stall_cycles,Delta_max,max_backlog,mean_backlog,BacklogArea,L_backlog,num_backlog_intervals,longest_backlog_interval,backlog_persistence_ratio,D_peak,D_mean,D_cv,D_peak_to_mean,num_demand_peaks,T_count,critical_path_length,slack_ratio,mean_slack,median_slack,p90_slack,fraction_zero_slack,fraction_slack_ge_2,fraction_slack_ge_5,ready_T_width_peak,mean_demand_over_C,peak_demand_over_C,supply_tightness,regime_label,regime_reason,recommended_strategy
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,4,16,capacity_aware,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,4,1.1020408163265305,1.5255033575273313,3.62962962962963,24,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2755102040816326,1.0,0.2647058823529412,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,4,16,smooth,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.4463425325753065,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2755102040816326,1.25,0.2647058823529412,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,4,16,delivery_aware_v2,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.6112175358634229,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2755102040816326,1.25,0.2647058823529412,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,4,16,robust_smooth,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.4463425325753065,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2755102040816326,1.25,0.2647058823529412,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,0,static,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.6112175358634229,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.22040816326530613,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,0,capacity_aware,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.6112175358634229,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.22040816326530613,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,0,smooth,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.4463425325753065,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.22040816326530613,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,0,delivery_aware_v2,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.6112175358634229,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.22040816326530613,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,0,robust_smooth,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.4463425325753065,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.22040816326530613,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,4,static,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.6112175358634229,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.21862348178137653,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,4,capacity_aware,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.6112175358634229,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.21862348178137653,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,4,smooth,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.4463425325753065,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.21862348178137653,no_delivery_bottleneck,static execution already meets delivery constraints,none
hamiltonian_simulation_synthetic,synthetic_hamiltonian_simulation,0,12,5,4,delivery_aware_v2,98,98,98,1.0,0,0,0,0.0,0,0,0,0,0.0,5,1.1020408163265305,1.6112175358634229,4.537037037037037,4,108,98,0.8888888888888888,1.7777777777777777,2.0,2.0,0.1111111111111111,0.8888888888888888,0.0,5,0.2204081632653061,1.0,0.21862348178137653,no_delivery_bottleneck,static execution already meets delivery constraints,none
