workload,family,seed,n,C,B,regime_label,recommended_strategy,empirical_best_strategy,match,score_recommended,score_best,regret
constructed_high,high_compressibility,1,24,4,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,4,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,4,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,4,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,5,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,5,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,5,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,5,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,5,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,5,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,5,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,6,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,6,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,6,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,6,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,6,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,6,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,6,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,7,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,7,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,7,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,7,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,7,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,7,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,7,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,8,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,8,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,8,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,8,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,8,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,8,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,1,24,8,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,1,0,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,1,2,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,1,4,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,1,8,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,1,12,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,1,16,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,1,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,2,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,2,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,2,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
