lambda_A,lambda_C,lambda_B,policy,match_rate,match_rate_nontrivial,mean_regret,median_regret,p95_regret,mean_regret_nontrivial,median_regret_nontrivial,p95_regret_nontrivial
0.0,0.01,0.02,random,0.8324175824175825,0.5781893004115226,0.0653841513502571,0.0,0.38726027397260276,0.19040232619893632,0.0,0.884736842105263
0.0,0.01,0.02,regime_aware,0.9608516483516484,0.8888888888888888,0.011038821155249798,0.0,0.0,0.033009307823135194,0.0,0.27
0.0,0.01,0.05,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12097112691219829,0.0,0.6621621621621621,0.331976912884026,0.18301435406698563,0.9090243902439024
0.0,0.01,0.05,always_increase_B,0.9100274725274725,0.7366255144032922,0.10250732842733339,0.0,0.884736842105263,0.30534919475665817,0.0,1.59
0.0,0.01,0.05,always_increase_C,0.9979395604395604,1.0,2.060439560439562e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.05,always_smooth,0.9100274725274725,0.7366255144032922,0.045413925921239925,0.0,0.25027397260273965,0.13430393951206543,0.0,0.8371428571428572
0.0,0.01,0.05,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.05,random,0.8365384615384616,0.5781893004115226,0.06676105419097766,0.0,0.3702439024390243,0.19366474798026212,0.0,0.99
0.0,0.01,0.05,regime_aware,0.9608516483516484,0.8888888888888888,0.026986623353052,0.0,0.0,0.08078708560091298,0.0,0.6900000000000002
0.0,0.03,0.0,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11930903900011039,0.0,0.6621621621621621,0.32699748901571324,0.183568677792041,0.8685714285714285
0.0,0.03,0.0,always_increase_B,0.9471153846153846,0.8477366255144033,0.03312546029546524,0.0,0.09789473684210526,0.09748911245213139,0.0,0.6304761904761904
0.0,0.03,0.0,always_increase_C,0.9608516483516484,0.8888888888888888,0.0011744505494505504,0.0,0.0,0.003333333333333336,0.0,0.030000000000000027
0.0,0.03,0.0,always_smooth,0.9100274725274725,0.7366255144032922,0.04375183800915201,0.0,0.23684210526315796,0.12932451564375264,0.0,0.7880487804878047
0.0,0.03,0.0,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.0,random,0.8303571428571429,0.5637860082304527,0.05228976641870393,0.0,0.2825,0.15121018592326269,0.0,0.7402597402597402
0.0,0.03,0.0,regime_aware,0.9869505494505495,0.9670781893004116,0.0008190409354695775,0.0,0.0,0.0022685670823944545,0.0,0.0
0.0,0.03,0.002,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11838745406714674,0.0,0.6621621621621621,0.32423652674741066,0.18181818181818188,0.8685714285714285
0.0,0.03,0.002,always_increase_B,0.9237637362637363,0.7777777777777778,0.03491266657129282,0.0,0.1578947368421053,0.10284337652127737,0.0,0.6653170731707316
0.0,0.03,0.002,always_increase_C,0.9828296703296703,0.9547325102880658,0.00025286561648691584,0.0,0.0,0.0005723710650307601,0.0,0.0
0.0,0.03,0.002,always_smooth,0.9114010989010989,0.7407407407407407,0.042830253076188374,0.0,0.23027397260273963,0.12656355337545006,0.0,0.7880487804878047
0.0,0.03,0.002,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.002,random,0.8447802197802198,0.5925925925925926,0.05102669422131222,0.0,0.25806451612903225,0.1460170999618116,0.0,0.7971428571428572
0.0,0.03,0.002,regime_aware,0.9711538461538461,0.9197530864197531,0.000960642815692757,0.0,0.0,0.002692789999277066,0.0,0.022631578947368336
0.0,0.03,0.005,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11826218604248846,0.0,0.6621621621621621,0.32386123817971013,0.18181818181818188,0.8685714285714285
0.0,0.03,0.005,always_increase_B,0.9141483516483516,0.7489711934156379,0.03885058535982136,0.0,0.2080952380952381,0.11464092745974973,0.0,0.7173170731707317
0.0,0.03,0.005,always_increase_C,0.992445054945055,0.9835390946502057,0.0001275975918286472,0.0,0.0,0.00019708249733026796,0.0,0.0
0.0,0.03,0.005,always_smooth,0.9120879120879121,0.742798353909465,0.04270498505153011,0.0,0.23027397260273963,0.12618826480774958,0.0,0.7880487804878047
0.0,0.03,0.005,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.005,random,0.8221153846153846,0.5555555555555556,0.05862266754437528,0.0,0.33986301369863003,0.16614893015056384,0.0,0.7971428571428572
0.0,0.03,0.005,regime_aware,0.9649725274725275,0.9012345679012346,0.002430155010814708,0.0,0.0,0.007095279209354352,0.0,0.06589041095890402
0.0,0.03,0.01,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11822963297911349,0.0,0.6621621621621621,0.323763712952809,0.18181818181818188,0.8685714285714285
0.0,0.03,0.01,always_increase_B,0.9107142857142857,0.7386831275720165,0.0455900103184244,0.0,0.27,0.13483146807646995,0.0,0.8173170731707315
0.0,0.03,0.01,always_increase_C,0.9945054945054945,0.9897119341563786,9.504452845366592e-05,0.0,0.0,9.95572704290895e-05,0.0,0.0
0.0,0.03,0.01,always_smooth,0.9127747252747253,0.7448559670781894,0.042672431988155124,0.0,0.23027397260273963,0.1260907395808484,0.0,0.7880487804878047
0.0,0.03,0.01,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.01,random,0.8255494505494505,0.5596707818930041,0.0568301023757992,0.0,0.3287671232876712,0.1613490798090293,0.0,0.7636585365853659
0.0,0.03,0.01,regime_aware,0.9642857142857143,0.8991769547325102,0.00505556898040676,0.0,0.0,0.014960716945416135,0.0,0.12068493150684922
0.0,0.03,0.02,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11822276484724535,0.0,0.6621621621621621,0.3237431368211217,0.18181818181818188,0.8685714285714285
0.0,0.03,0.02,always_increase_B,0.9100274725274725,0.7366255144032922,0.059127098230512314,0.0,0.44999999999999996,0.1753870236320255,0.0,0.8704761904761904
0.0,0.03,0.02,always_increase_C,0.9951923076923077,0.9917695473251029,8.817639658553404e-05,0.0,0.0,7.898113874184669e-05,0.0,0.0
0.0,0.03,0.02,always_smooth,0.9127747252747253,0.7448559670781894,0.04266556385628699,0.0,0.23027397260273963,0.12607016344916117,0.0,0.7880487804878047
0.0,0.03,0.02,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.02,random,0.8214285714285714,0.5390946502057613,0.06058213908035883,0.0,0.35923076923076924,0.1756988395990429,0.0,0.8002439024390242
0.0,0.03,0.02,regime_aware,0.9635989010989011,0.897119341563786,0.010364634914472693,0.0,0.0,0.030866066739654818,0.0,0.25
0.0,0.03,0.05,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11822276484724535,0.0,0.6621621621621621,0.3237431368211217,0.18181818181818188,0.8685714285714285
0.0,0.03,0.05,always_increase_B,0.9100274725274725,0.7366255144032922,0.09975896636238045,0.0,0.864736842105263,0.2971154186937539,0.0,1.57
0.0,0.03,0.05,always_increase_C,0.9951923076923077,0.9917695473251029,8.817639658553404e-05,0.0,0.0,7.898113874184669e-05,0.0,0.0
0.0,0.03,0.05,always_smooth,0.9127747252747253,0.7448559670781894,0.04266556385628699,0.0,0.23027397260273963,0.12607016344916117,0.0,0.7880487804878047
0.0,0.03,0.05,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.05,random,0.8282967032967034,0.5390946502057613,0.07074795714260146,0.0,0.43243243243243246,0.20550958727189902,0.0,0.9161904761904762
0.0,0.03,0.05,regime_aware,0.9635989010989011,0.897119341563786,0.026312437112274892,0.0,0.0,0.0786438445174326,0.0,0.6700000000000002
0.0,0.05,0.0,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11727607196714335,0.0,0.6368421052631579,0.3209069540362893,0.183568677792041,0.8285714285714285
0.0,0.05,0.0,always_increase_B,0.9471153846153846,0.8477366255144033,0.03109249326249821,0.0,0.05789473684210522,0.09139857747270752,0.0,0.5904761904761904
0.0,0.05,0.0,always_increase_C,0.9608516483516484,0.8888888888888888,0.001957417582417584,0.0,0.0,0.00555555555555556,0.0,0.050000000000000044
0.0,0.05,0.0,always_smooth,0.9100274725274725,0.7366255144032922,0.04171887097618498,0.0,0.21923076923076912,0.1232339806643288,0.0,0.7280487804878049
0.0,0.05,0.0,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.0,random,0.8255494505494505,0.5555555555555556,0.06039723483467164,0.0,0.3421052631578947,0.17246662121028059,0.0,0.75
0.0,0.05,0.0,regime_aware,0.9869505494505495,0.9670781893004116,0.0008602497266783687,0.0,0.0,0.0022685670823944545,0.0,0.0
0.0,0.05,0.002,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.1160479911107483,0.0,0.6368421052631579,0.317227765297789,0.18181818181818188,0.8285714285714285
0.0,0.05,0.002,always_increase_B,0.9347527472527473,0.8106995884773662,0.03257320361489438,0.0,0.11789473684210527,0.09583461507165572,0.0,0.6224761904761904
0.0,0.05,0.002,always_increase_C,0.9711538461538461,0.9197530864197531,0.000729336726022542,0.0,0.0,0.0018763668170551872,0.0,0.018000000000000016
0.0,0.05,0.002,always_smooth,0.9120879120879121,0.742798353909465,0.04049079011978994,0.0,0.20487804878048776,0.11955479192582841,0.0,0.7280487804878049
