lambda_A,lambda_C,lambda_B,policy,match_rate,match_rate_nontrivial,mean_regret,median_regret,p95_regret,mean_regret_nontrivial,median_regret_nontrivial,p95_regret_nontrivial
0.0,0.05,0.02,regime_aware,0.9656593406593407,0.9032921810699589,0.00975278781230101,0.0,0.0,0.028909586532325657,0.0,0.22999999999999998
0.0,0.05,0.05,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11552987378902971,0.0,0.6368421052631579,0.31567554550268145,0.18181818181818188,0.8285714285714285
0.0,0.05,0.05,always_increase_B,0.9100274725274725,0.7366255144032922,0.0970660753041648,0.0,0.844736842105263,0.2890478273753136,0.0,1.55
0.0,0.05,0.05,always_increase_C,0.9917582417582418,0.9814814814814815,0.0002112194043039598,0.0,0.0,0.00032414702194766525,0.0,0.0
0.0,0.05,0.05,always_smooth,0.9162087912087912,0.7551440329218106,0.03997267279807136,0.0,0.20487804878048776,0.11800257213072089,0.0,0.7280487804878049
0.0,0.05,0.05,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.05,random,0.8427197802197802,0.588477366255144,0.06385562081882723,0.0,0.35064935064935066,0.18561007941668733,0.0,1.1105263157894738
0.0,0.05,0.05,regime_aware,0.9649725274725275,0.9012345679012346,0.025693721878235078,0.0,0.0,0.07666678817841618,0.0,0.6500000000000001
0.0,0.1,0.0,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11230932818461008,0.0,0.5789473684210527,0.30602716196351487,0.183568677792041,0.75
0.0,0.1,0.0,always_increase_B,0.9498626373626373,0.8559670781893004,0.026125749479964953,0.0,0.0,0.076518785399933,0.0,0.4904761904761905
0.0,0.1,0.0,always_increase_C,0.9581043956043956,0.8806584362139918,0.004030508964719495,0.0,0.0,0.011457656486896261,0.0,0.10000000000000009
0.0,0.1,0.0,always_smooth,0.9100274725274725,0.7366255144032922,0.03675212719365172,0.0,0.19178082191780832,0.10835418859155425,0.0,0.6024390243902438
0.0,0.1,0.0,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,random,0.823489010989011,0.5349794238683128,0.05002359485702611,0.0,0.25806451612903225,0.14448057977108827,0.0,0.6875
0.0,0.1,0.0,regime_aware,0.9842032967032966,0.9588477366255144,0.0010789455045846729,0.0,0.0,0.0026151124581795956,0.0,0.0
0.0,0.1,0.002,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.11086255155030875,0.0,0.5769230769230769,0.3016927858739207,0.18181818181818188,0.75
0.0,0.1,0.002,always_increase_B,0.945054945054945,0.8415637860082305,0.027387764054454818,0.0,0.02189473684210541,0.0802996356477874,0.0,0.5224761904761905
0.0,0.1,0.002,always_increase_C,0.9608516483516484,0.8888888888888888,0.002583732330418148,0.0,0.0,0.007123280397302105,0.0,0.06800000000000006
0.0,0.1,0.002,always_smooth,0.9120879120879121,0.742798353909465,0.03530535055935037,0.0,0.1658536585365855,0.1040198125019601,0.0,0.6024390243902438
0.0,0.1,0.002,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.002,random,0.8399725274725275,0.5802469135802469,0.04899975418863798,0.0,0.25567123287671234,0.142106817771415,0.0,0.7402597402597402
