C_budget,B_budget,policy,match_rate_to_budget_oracle,mean_regret,median_regret,p95_regret,infeasibility_rate,mean_regret_nontrivial
1,0,always_increase_B,0.9347527472527473,0.013863905800144226,0.0,0.0748780487804881,0.07486263736263732,0.03978371462252768
1,0,always_increase_C,0.992445054945055,0.0003967029440392735,0.0,0.0,0.03228021978021978,0.0011884763097143667
1,0,always_smooth,0.9347527472527473,0.013863905800144226,0.0,0.0748780487804881,0.0,0.03978371462252768
1,0,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
1,0,random,0.8337912087912088,0.037917993551234125,0.0,0.25609756097560976,0.014423076923076872,0.10567274157457489
1,0,regime_aware,0.9553571428571429,0.0054984085784515035,0.0,0.0,0.058379120879120894,0.016472598539558413
1,4,always_capacity_aware,0.5267857142857143,0.08754182515895863,0.0,0.375,0.0,0.2318265767673244
1,4,always_increase_B,0.9381868131868132,0.013580915732380124,0.0,0.07054794520547958,0.06868131868131866,0.03893590898741548
1,4,always_increase_C,0.9910714285714286,0.0004960051698270682,0.0,0.0,0.03228021978021978,0.0014859743359428217
1,4,always_smooth,0.9333791208791209,0.01396320802593202,0.0,0.075952380952381,0.0,0.040081212648756144
1,4,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
1,4,random,0.8406593406593407,0.03634175065083146,0.0,0.25,0.01098901098901095,0.10462334014309224
1,4,regime_aware,0.9553571428571429,0.00549969869729862,0.0,0.0,0.057005494505494525,0.016476463586968703
1,8,always_capacity_aware,0.5267857142857143,0.08796068535793394,0.0,0.375,0.0,0.23308143365972783
1,8,always_increase_B,0.9429945054945055,0.012581973877629504,0.0,0.04191780821917801,0.055631868131868156,0.03594319429499387
1,8,always_increase_C,0.9876373626373627,0.0009148653688023858,0.0,0.0,0.03228021978021978,0.002740831228346242
1,8,always_smooth,0.929945054945055,0.014382068224907337,0.0,0.09318181818181803,0.0,0.041336069541159565
1,8,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
1,8,random,0.8509615384615384,0.03527586450159681,0.0,0.23809523809523814,0.011675824175824134,0.10014296256340048
1,8,regime_aware,0.9539835164835165,0.005757536491360555,0.0,0.0,0.05494505494505497,0.017248915908273595
1,16,always_capacity_aware,0.5260989010989011,0.08903216706597152,0.0,0.375,0.0,0.23629146939409554
1,16,always_increase_B,0.9553571428571429,0.010357914565727624,0.0,0.0,0.03434065934065933,0.029280168866744612
1,16,always_increase_C,0.9814560439560439,0.0019863470768399553,0.0,0.0,0.03228021978021978,0.00595086696271394
1,16,always_smooth,0.9237637362637363,0.01545354993294491,0.0,0.11184210526315819,0.0,0.044546105275527256
1,16,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
1,16,random,0.8337912087912088,0.03275524164562495,0.0,0.23684210526315796,0.01098901098901095,0.09132329151661761
1,16,regime_aware,0.9567307692307693,0.0052446331623626045,0.0,0.0,0.046016483516483464,0.0157123166345678
