program,kernel,regime,rate,policy,makespan,ancillas,data_qubits,space_time_volume,volume_ratio_vs_t_depth,time_ratio_vs_t_depth
qft_q5_t32,qft,rate8,8.0,share_aware_greedy,88,72,10,7216,0.4288,0.8889
qft_q5_t32,qft,rate8,8.0,resource_aware,88,88,10,8624,0.5124,0.8889
reduction_tree_mult_w32_r8,multiplier,rate0.1,0.1,min_t_depth,17083,168,64,3963256,1.0,1.0
reduction_tree_mult_w32_r8,multiplier,rate0.1,0.1,min_t_count,8683,7,64,616493,0.1556,0.5083
reduction_tree_mult_w32_r8,multiplier,rate0.1,0.1,share_aware_greedy,8683,7,64,616493,0.1556,0.5083
reduction_tree_mult_w32_r8,multiplier,rate0.1,0.1,resource_aware,8683,7,64,616493,0.1556,0.5083
reduction_tree_mult_w32_r8,multiplier,rate0.2,0.2,min_t_depth,8548,168,64,1983136,1.0,1.0
reduction_tree_mult_w32_r8,multiplier,rate0.2,0.2,min_t_count,4348,7,64,308708,0.1557,0.5087
reduction_tree_mult_w32_r8,multiplier,rate0.2,0.2,share_aware_greedy,4348,7,64,308708,0.1557,0.5087
reduction_tree_mult_w32_r8,multiplier,rate0.2,0.2,resource_aware,4348,7,64,308708,0.1557,0.5087
reduction_tree_mult_w32_r8,multiplier,rate0.5,0.5,min_t_depth,3427,168,64,795064,1.0,1.0
reduction_tree_mult_w32_r8,multiplier,rate0.5,0.5,min_t_count,1747,7,64,124037,0.156,0.5098
reduction_tree_mult_w32_r8,multiplier,rate0.5,0.5,share_aware_greedy,1747,7,64,124037,0.156,0.5098
reduction_tree_mult_w32_r8,multiplier,rate0.5,0.5,resource_aware,1747,7,64,124037,0.156,0.5098
reduction_tree_mult_w32_r8,multiplier,rate1,1.0,min_t_depth,1720,168,64,399040,1.0,1.0
reduction_tree_mult_w32_r8,multiplier,rate1,1.0,min_t_count,915,7,64,64965,0.1628,0.532
reduction_tree_mult_w32_r8,multiplier,rate1,1.0,share_aware_greedy,915,7,64,64965,0.1628,0.532
reduction_tree_mult_w32_r8,multiplier,rate1,1.0,resource_aware,915,7,64,64965,0.1628,0.532
reduction_tree_mult_w32_r8,multiplier,rate2,2.0,min_t_depth,866,168,64,200912,1.0,1.0
reduction_tree_mult_w32_r8,multiplier,rate2,2.0,min_t_count,578,7,64,41038,0.2043,0.6674
reduction_tree_mult_w32_r8,multiplier,rate2,2.0,share_aware_greedy,532,12,64,40432,0.2012,0.6143
reduction_tree_mult_w32_r8,multiplier,rate2,2.0,resource_aware,532,30,64,50008,0.2489,0.6143
reduction_tree_mult_w32_r8,multiplier,rate4,4.0,min_t_depth,439,168,64,101848,1.0,1.0
reduction_tree_mult_w32_r8,multiplier,rate4,4.0,min_t_count,484,7,64,34364,0.3374,1.1025
reduction_tree_mult_w32_r8,multiplier,rate4,4.0,share_aware_greedy,348,40,64,36192,0.3554,0.7927
reduction_tree_mult_w32_r8,multiplier,rate4,4.0,resource_aware,348,100,64,57072,0.5604,0.7927
reduction_tree_mult_w32_r8,multiplier,rate8,8.0,min_t_depth,248,168,64,57536,1.0,1.0
reduction_tree_mult_w32_r8,multiplier,rate8,8.0,min_t_count,483,7,64,34293,0.596,1.9476
reduction_tree_mult_w32_r8,multiplier,rate8,8.0,share_aware_greedy,248,96,64,39680,0.6897,1.0
reduction_tree_mult_w32_r8,multiplier,rate8,8.0,resource_aware,248,174,64,59024,1.0259,1.0
toffoli_ladder_n3_l2,toffoli,rate0.1,0.1,min_t_depth,423,24,8,13536,1.0,1.0
toffoli_ladder_n3_l2,toffoli,rate0.1,0.1,min_t_count,243,6,8,3402,0.2513,0.5745
toffoli_ladder_n3_l2,toffoli,rate0.1,0.1,share_aware_greedy,243,6,8,3402,0.2513,0.5745
toffoli_ladder_n3_l2,toffoli,rate0.1,0.1,resource_aware,243,6,8,3402,0.2513,0.5745
toffoli_ladder_n3_l2,toffoli,rate0.2,0.2,min_t_depth,218,24,8,6976,1.0,1.0
