program,regime,rate,max_parallel_ops,makespan_min_t_depth,makespan_share_aware,makespan_resource_aware,regret_min_t_depth,regret_resource_aware,reference
toffoli_ladder_n3_l2,rate4,4.0,none,30,33,29,1.0345,1.0,29
trotter_t4_l2_b32,rate0.5,0.5,4,1034,522,522,1.9808,1.0,522
trotter_t4_l2_b32,rate0.5,0.5,8,1034,522,522,1.9808,1.0,522
trotter_t4_l2_b32,rate0.5,0.5,16,1034,522,522,1.9808,1.0,522
trotter_t4_l2_b32,rate0.5,0.5,32,1034,522,522,1.9808,1.0,522
trotter_t4_l2_b32,rate0.5,0.5,none,1034,522,522,1.9808,1.0,522
trotter_t4_l2_b32,rate1,1.0,4,523,267,267,1.9588,1.0,267
trotter_t4_l2_b32,rate1,1.0,8,523,267,267,1.9588,1.0,267
trotter_t4_l2_b32,rate1,1.0,16,523,267,267,1.9588,1.0,267
trotter_t4_l2_b32,rate1,1.0,32,523,267,267,1.9588,1.0,267
trotter_t4_l2_b32,rate1,1.0,none,523,267,267,1.9588,1.0,267
trotter_t4_l2_b32,rate2,2.0,4,267,143,143,1.8671,1.0,143
trotter_t4_l2_b32,rate2,2.0,8,267,143,143,1.8671,1.0,143
trotter_t4_l2_b32,rate2,2.0,16,267,143,143,1.8671,1.0,143
trotter_t4_l2_b32,rate2,2.0,32,267,143,143,1.8671,1.0,143
trotter_t4_l2_b32,rate2,2.0,none,267,143,143,1.8671,1.0,143
trotter_t4_l2_b32,rate4,4.0,4,152,136,137,1.1176,1.0074,136
trotter_t4_l2_b32,rate4,4.0,8,139,95,96,1.4632,1.0105,95
trotter_t4_l2_b32,rate4,4.0,16,139,95,96,1.4632,1.0105,95
trotter_t4_l2_b32,rate4,4.0,32,139,95,96,1.4632,1.0105,95
trotter_t4_l2_b32,rate4,4.0,none,139,95,96,1.4632,1.0105,95
