program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
grover_c32_i2,grover,rate8,8.0,sccp,dependencies + arrival timing + buffer,104,104,1.0,1,0.0072,0.0192,1
grover_c32_i2,grover,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,104,104,1.0,1,0.0072,0.0192,1
grover_c32_i2,grover,rate8,8.0,t_count_only,T-count and average supply rate,216,104,2.0769,1,0.7371,0.8935,0
grover_c8_i2,grover,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),1842,1202,1.5324,1,0.9092,0.9631,0
grover_c8_i2,grover,rate0.1,0.1,deps_plus_count,dependencies + T-count,1202,1202,1.0,1,0.0054,0.0067,1
grover_c8_i2,grover,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,1202,1202,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,1202,1202,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,1202,1202,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate0.1,0.1,t_count_only,T-count and average supply rate,1202,1202,1.0,1,0.0054,0.0067,1
grover_c8_i2,grover,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),927,607,1.5272,1,0.82,0.9266,0
grover_c8_i2,grover,rate0.2,0.2,deps_plus_count,dependencies + T-count,607,607,1.0,1,0.004,0.0049,1
grover_c8_i2,grover,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,607,607,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,607,607,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,607,607,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate0.2,0.2,t_count_only,T-count and average supply rate,607,607,1.0,1,0.004,0.0049,1
grover_c8_i2,grover,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),378,255,1.4824,1,0.5643,0.8201,0
grover_c8_i2,grover,rate0.5,0.5,deps_plus_count,dependencies + T-count,255,255,1.0,1,0.0039,0.0196,1
grover_c8_i2,grover,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,255,255,1.0,1,0.0008,0.0078,1
grover_c8_i2,grover,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,255,255,1.0,1,0.0008,0.0078,1
grover_c8_i2,grover,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,255,255,1.0,1,0.0008,0.0078,1
