program,kernel,concurrency,regime,rate,clifford_weight,num_candidates,t_depth_choice,best_choice,t_depth_makespan,t_count_makespan,best_makespan,regret_t_depth,regret_t_count,selection_reversal,pairs_compared,pairs_reversed,pair_reversal_rate,min_t_depth,best_candidate_t_depth,t_depth_ratio_of_best
reduction_tree_mult_w16_r8,multiplier,4,unconstrained,420.0,1,5,blocked4x7,blocked4x7,111,237,111,1.0,2.1351,0,9,1,0.1111,36,36,1.0
reduction_tree_mult_w16_r8,multiplier,4,rate0.1,0.1,0,5,blocked4x7,ripplex7,8120,4200,4200,1.9333,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate0.2,0.2,0,5,blocked4x7,ripplex7,4065,2105,2105,1.9311,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate0.5,0.5,0,5,blocked4x7,ripplex7,1632,848,848,1.9245,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate1,1.0,0,5,blocked4x7,ripplex7,821,429,429,1.9138,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate2,2.0,0,5,blocked4x7,ripplex7,415,219,219,1.895,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate4,4.0,0,5,blocked4x7,ripplex7,212,129,129,1.6434,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate8,8.0,0,5,blocked4x7,ripplex7,111,99,99,1.1212,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,unconstrained,420.0,0,5,blocked4x7,blocked4x7,36,90,36,1.0,2.5,0,9,0,0.0,36,36,1.0
schoolbook_mult_w32_r3,multiplier,1,rate0.1,0.1,1,6,blocked4x3,ripplex3,7323,3723,3723,1.967,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate0.2,0.2,1,6,blocked4x3,ripplex3,3668,1868,1868,1.9636,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate0.5,0.5,1,6,blocked4x3,ripplex3,1475,755,755,1.9536,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate1,1.0,1,6,blocked4x3,ripplex3,744,484,484,1.5372,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate2,2.0,1,6,blocked4x3,blocked16x3,378,483,378,1.0,1.2778,0,14,0,0.0,48,96,2.0
schoolbook_mult_w32_r3,multiplier,1,rate4,4.0,1,6,blocked4x3,blocked4x3,195,483,195,1.0,2.4769,0,14,2,0.1429,48,48,1.0
schoolbook_mult_w32_r3,multiplier,1,rate8,8.0,1,6,blocked4x3,blocked4x3,156,483,156,1.0,3.0962,0,14,1,0.0714,48,48,1.0
schoolbook_mult_w32_r3,multiplier,1,unconstrained,372.0,1,6,blocked4x3,blocked4x3,147,477,147,1.0,3.2449,0,14,1,0.0714,48,48,1.0
schoolbook_mult_w32_r3,multiplier,1,rate0.1,0.1,0,6,blocked4x3,ripplex3,7320,3720,3720,1.9677,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate0.2,0.2,0,6,blocked4x3,ripplex3,3665,1865,1865,1.9651,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate0.5,0.5,0,6,blocked4x3,ripplex3,1472,752,752,1.9574,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate1,1.0,0,6,blocked4x3,ripplex3,741,381,381,1.9449,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate2,2.0,0,6,blocked4x3,ripplex3,375,195,195,1.9231,1.0,1,14,5,0.3571,48,186,3.875
schoolbook_mult_w32_r3,multiplier,1,rate4,4.0,0,6,blocked4x3,blocked16x3,192,195,192,1.0,1.0156,0,14,0,0.0,48,96,2.0
schoolbook_mult_w32_r3,multiplier,1,rate8,8.0,0,6,blocked4x3,blocked8x3,101,195,101,1.0,1.9307,0,14,1,0.0714,48,60,1.25
schoolbook_mult_w32_r3,multiplier,1,unconstrained,372.0,0,6,blocked4x3,blocked4x3,48,186,48,1.0,3.875,0,14,0,0.0,48,48,1.0
modexp_w32_s2,modexp,1,rate0.1,0.1,1,6,blocked4x4,ripplex4,9763,4963,4963,1.9672,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate0.2,0.2,1,6,blocked4x4,ripplex4,4888,2488,2488,1.9646,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate0.5,0.5,1,6,blocked4x4,ripplex4,1963,1003,1003,1.9571,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate1,1.0,1,6,blocked4x4,ripplex4,988,643,643,1.5365,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate2,2.0,1,6,blocked4x4,blocked16x4,500,642,500,1.0,1.284,0,14,0,0.0,64,128,2.0
modexp_w32_s2,modexp,1,rate4,4.0,1,6,blocked4x4,blocked4x4,256,642,256,1.0,2.5078,0,14,2,0.1429,64,64,1.0
modexp_w32_s2,modexp,1,rate8,8.0,1,6,blocked4x4,blocked4x4,206,642,206,1.0,3.1165,0,14,1,0.0714,64,64,1.0
modexp_w32_s2,modexp,1,unconstrained,496.0,1,6,blocked4x4,blocked4x4,196,636,196,1.0,3.2449,0,14,1,0.0714,64,64,1.0
modexp_w32_s2,modexp,1,rate0.1,0.1,0,6,blocked4x4,ripplex4,9760,4960,4960,1.9677,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate0.2,0.2,0,6,blocked4x4,ripplex4,4885,2485,2485,1.9658,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate0.5,0.5,0,6,blocked4x4,ripplex4,1960,1000,1000,1.96,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate1,1.0,0,6,blocked4x4,ripplex4,985,505,505,1.9505,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate2,2.0,0,6,blocked4x4,ripplex4,497,257,257,1.9339,1.0,1,14,5,0.3571,64,248,3.875
modexp_w32_s2,modexp,1,rate4,4.0,0,6,blocked4x4,blocked16x4,253,257,253,1.0,1.0158,0,14,0,0.0,64,128,2.0
modexp_w32_s2,modexp,1,rate8,8.0,0,6,blocked4x4,blocked8x4,131,257,131,1.0,1.9618,0,14,1,0.0714,64,80,1.25
