program,kernel,concurrency,decision_sites,assignment_space,regime,rate,buffer,reference,reference_exhaustive,reference_heterogeneous,makespan_min_t_count,makespan_min_t_depth,makespan_best_static,makespan_legacy_smooth,makespan_local_resource_greedy,makespan_share_aware_greedy,makespan_best_uniform,makespan_resource_aware,regret_min_t_count,regret_min_t_depth,regret_best_static,regret_legacy_smooth,regret_local_resource_greedy,regret_share_aware_greedy,regret_best_uniform,regret_resource_aware,strongest_baseline,strongest_baseline_makespan,headroom_available,headroom_captured,ours_heterogeneous,ours_profile,ours_cost_evaluations,ours_ancillas,best_static_ancillas,ours_overflow,ours_stalls
mixed_w32_c16_l4,mixed,4,12,12960000,rate4,4.0,32,272,0,1,296,380,296,387,372,272,272,273,1.0882,1.3971,1.0882,1.4228,1.3676,1.0,1.0,1.0037,share_aware_greedy,272,0,,1,"ripplex4,treex4,width16x1,width2x3",203,122,100,124,85
mixed_w32_c16_l4,mixed,4,12,12960000,rate8,8.0,32,202,0,1,273,208,208,211,208,202,202,204,1.3515,1.0297,1.0297,1.0446,1.0297,1.0,1.0,1.0099,share_aware_greedy,202,0,,1,"blocked4x4,treex4,width8x4",203,224,256,104,169
modexp_w16_s2,modexp,1,4,625,rate0.1,0.1,32,2403,1,0,2403,4643,2403,4643,2403,2403,2403,2403,1.0,1.9322,1.0,1.9322,1.0,1.0,1.0,1.0,min_t_count,2403,0,,0,ripplex4,67,4,4,0,2087
modexp_w16_s2,modexp,1,4,625,rate0.2,0.2,32,1208,1,0,1208,2328,1208,2328,1208,1208,1208,1208,1.0,1.9272,1.0,1.9272,1.0,1.0,1.0,1.0,min_t_count,1208,0,,0,ripplex4,67,4,4,0,892
modexp_w16_s2,modexp,1,4,625,rate0.5,0.5,32,491,1,0,491,939,491,939,491,491,491,491,1.0,1.9124,1.0,1.9124,1.0,1.0,1.0,1.0,min_t_count,491,0,,0,ripplex4,67,4,4,0,175
modexp_w16_s2,modexp,1,4,625,rate1,1.0,32,323,1,0,323,476,323,476,323,323,323,335,1.0,1.4737,1.0,1.4737,1.0,1.0,1.0,1.0372,min_t_count,323,0,,1,"blocked4x1,ripplex3",99,15,4,27,86
modexp_w16_s2,modexp,1,4,625,rate2,2.0,32,244,1,0,322,244,244,247,244,244,244,250,1.3197,1.0,1.0,1.0123,1.0,1.0,1.0,1.0246,min_t_depth,244,0,,1,"blocked2x1,blocked4x1,lookaheadx1,ripplex1",115,85,48,68,92
modexp_w16_s2,modexp,1,4,625,rate4,4.0,32,158,1,0,322,158,158,157,158,158,158,158,2.038,1.0,1.0,0.9937,1.0,1.0,1.0,1.0,legacy_smooth,157,-1,,0,blocked4x4,67,48,48,104,41
modexp_w16_s2,modexp,1,4,625,rate8,8.0,32,154,1,0,322,154,154,154,154,154,154,154,2.0909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,154,0,,0,blocked4x4,67,48,48,672,7
modexp_w32_s2,modexp,1,4,1296,rate0.1,0.1,32,4963,1,0,4963,9763,4963,9763,4963,4963,4963,4963,1.0,1.9672,1.0,1.9672,1.0,1.0,1.0,1.0,min_t_count,4963,0,,0,ripplex4,83,4,4,0,4327
