key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
SC5|p=0.001|r=10|T|k=2|rounds=0,SC5,5,25,1,0.001,0.01,10,T,2,0,25,1,13,432,102000,202,0.001980392156862745,0.0015069607843137256,0.0025437254901960783,3,False,710.3,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|T|k=2|rounds=0,SC5,5,25,1,0.001,0.001,1,T,2,0,25,1,13,432,153842,201,0.0013065352764524642,0.0009934218223892047,0.0016793203416492247,5,False,935.21,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=3|T|k=2|rounds=0,SC5,5,25,1,0.001,0.003,3,T,2,0,25,1,13,432,140652,208,0.0014788271762932628,0.0011298808406563718,0.0018929698831157752,4,False,875.76,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=1|T|k=2|rounds=0,SC5,5,25,1,0.002,0.002,1,T,2,0,25,1,13,432,22457,229,0.010197265885915305,0.007902658413857594,0.01289352985706016,2,False,539.78,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=30|T|k=2|rounds=0,SC5,5,25,1,0.002,0.06,30,T,2,0,25,1,13,432,6086,208,0.034176799211304634,0.026214262241209332,0.04354584291817285,2,False,268.0,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=3|T|k=2|rounds=0,SC5,5,25,1,0.002,0.006,3,T,2,0,25,1,13,432,20469,201,0.009819727392642533,0.007474229322389956,0.012606380380086962,2,False,524.55,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=1|R|k=1|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.001,1,R,1,0,18,0,7,144,8110,202,0.024907521578298397,0.01900616522811344,0.03188779284833539,3,False,40.67,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=10|R|k=1|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.01,10,R,1,0,18,0,7,144,7219,218,0.030198088377891674,0.023302396453802464,0.03829200720321374,2,False,44.0,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=10|T|k=2|rounds=0,SC5,5,25,1,0.002,0.02,10,T,2,0,25,1,13,432,16742,223,0.013319794528730139,0.01028909329829172,0.01688507944092701,2,False,510.64,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=1|R|k=2|rounds=0,SC7,7,49,1,0.001,0.001,1,R,2,0,98,0,10,528,200000,16,8e-05,2.67e-05,0.00017894999999999999,8,True,620.13,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
