workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,feasible
constructed_low,low_compressibility,0,24,static,5,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,5,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,5,12,110,110,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,1,0,76,132,56,1.736842105263158,56,65,True
constructed_high,high_compressibility,1,24,capacity_aware,1,0,133,133,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,1,0,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,1,4,76,128,52,1.6842105263157894,56,60,True
constructed_high,high_compressibility,1,24,capacity_aware,1,4,133,133,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,1,4,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,1,8,76,124,48,1.631578947368421,56,55,True
constructed_high,high_compressibility,1,24,capacity_aware,1,8,133,133,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,1,8,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,1,12,76,120,44,1.5789473684210527,56,51,True
constructed_high,high_compressibility,1,24,capacity_aware,1,12,133,133,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,1,12,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,2,0,76,103,27,1.355263157894737,54,29,True
constructed_high,high_compressibility,1,24,capacity_aware,2,0,104,104,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,2,0,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,2,4,76,101,25,1.3289473684210527,54,27,True
constructed_high,high_compressibility,1,24,capacity_aware,2,4,104,104,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,2,4,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,2,8,76,99,23,1.3026315789473684,54,25,True
constructed_high,high_compressibility,1,24,capacity_aware,2,8,104,104,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,2,8,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,2,12,76,97,21,1.2763157894736843,54,23,True
constructed_high,high_compressibility,1,24,capacity_aware,2,12,104,104,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,2,12,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,3,0,76,94,18,1.236842105263158,52,18,True
constructed_high,high_compressibility,1,24,capacity_aware,3,0,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,3,0,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,3,4,76,92,16,1.2105263157894737,52,17,True
constructed_high,high_compressibility,1,24,capacity_aware,3,4,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,3,4,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,3,8,76,91,15,1.1973684210526316,52,16,True
constructed_high,high_compressibility,1,24,capacity_aware,3,8,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,3,8,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,3,12,76,90,14,1.1842105263157894,52,14,True
constructed_high,high_compressibility,1,24,capacity_aware,3,12,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,3,12,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,4,0,76,89,13,1.1710526315789473,50,13,True
constructed_high,high_compressibility,1,24,capacity_aware,4,0,90,90,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,4,0,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,4,4,76,88,12,1.1578947368421053,50,12,True
constructed_high,high_compressibility,1,24,capacity_aware,4,4,90,90,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,4,4,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,4,8,76,87,11,1.144736842105263,50,11,True
constructed_high,high_compressibility,1,24,capacity_aware,4,8,90,90,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,4,8,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,4,12,76,86,10,1.131578947368421,50,10,True
constructed_high,high_compressibility,1,24,capacity_aware,4,12,90,90,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,4,12,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,5,0,76,86,10,1.131578947368421,48,10,True
constructed_high,high_compressibility,1,24,capacity_aware,5,0,87,87,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,5,0,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,5,4,76,85,9,1.118421052631579,48,9,True
constructed_high,high_compressibility,1,24,capacity_aware,5,4,87,87,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,5,4,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,5,8,76,84,8,1.105263157894737,48,9,True
constructed_high,high_compressibility,1,24,capacity_aware,5,8,87,87,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,smooth,5,8,76,76,0,1.0,0,0,True
constructed_high,high_compressibility,1,24,static,5,12,76,84,8,1.105263157894737,48,8,True
constructed_high,high_compressibility,1,24,capacity_aware,5,12,87,87,0,1.0,0,0,True
