workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,static_depth_penalty,Delta_reduction_vs_static,Texe_reduction_vs_static,Delta_reduction_vs_smooth,Texe_reduction_vs_smooth,Delta_reduction_vs_ca,Texe_reduction_vs_ca
constructed_high,high_compressibility,0,24,capacity_aware,4,12,95,95,0,1.0,0,0,1.1875,1.0,-0.04395604395604396,0.0,-0.1875,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,4,12,80,80,0,1.0,0,0,1.0,1.0,0.12087912087912088,0.0,0.0,0.0,0.15789473684210525
constructed_high,high_compressibility,0,24,delivery_aware,4,12,80,81,1,1.0125,16,3,1.0,0.6981132075471698,0.10989010989010989,0.0,-0.0125,0.0,0.14736842105263157
constructed_high,high_compressibility,0,24,static,5,0,80,91,11,1.1375,51,11,1.0,0.0,0.0,0.0,-0.1375,0.0,0.010869565217391304
constructed_high,high_compressibility,0,24,capacity_aware,5,0,92,92,0,1.0,0,0,1.15,1.0,-0.01098901098901099,0.0,-0.15,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,5,0,80,80,0,1.0,0,0,1.0,1.0,0.12087912087912088,0.0,0.0,0.0,0.13043478260869565
constructed_high,high_compressibility,0,24,delivery_aware,5,0,80,80,0,1.0,0,0,1.0,1.0,0.12087912087912088,0.0,0.0,0.0,0.13043478260869565
constructed_high,high_compressibility,0,24,static,5,4,80,90,10,1.125,51,10,1.0,0.0,0.0,0.0,-0.125,0.0,0.021739130434782608
constructed_high,high_compressibility,0,24,capacity_aware,5,4,92,92,0,1.0,0,0,1.15,1.0,-0.022222222222222223,0.0,-0.15,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,5,4,80,80,0,1.0,0,0,1.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.13043478260869565
constructed_high,high_compressibility,0,24,delivery_aware,5,4,80,81,1,1.0125,5,1,1.0,0.9019607843137255,0.1,0.0,-0.0125,0.0,0.11956521739130435
constructed_high,high_compressibility,0,24,static,5,8,80,89,9,1.1125,51,9,1.0,0.0,0.0,0.0,-0.1125,0.0,0.03260869565217391
constructed_high,high_compressibility,0,24,capacity_aware,5,8,92,92,0,1.0,0,0,1.15,1.0,-0.033707865168539325,0.0,-0.15,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,5,8,80,80,0,1.0,0,0,1.0,1.0,0.10112359550561797,0.0,0.0,0.0,0.13043478260869565
constructed_high,high_compressibility,0,24,delivery_aware,5,8,80,81,1,1.0125,12,3,1.0,0.7647058823529411,0.0898876404494382,0.0,-0.0125,0.0,0.11956521739130435
constructed_high,high_compressibility,0,24,static,5,12,80,88,8,1.1,51,8,1.0,0.0,0.0,0.0,-0.1,0.0,0.043478260869565216
constructed_high,high_compressibility,0,24,capacity_aware,5,12,92,92,0,1.0,0,0,1.15,1.0,-0.045454545454545456,0.0,-0.15,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,5,12,80,80,0,1.0,0,0,1.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.13043478260869565
constructed_high,high_compressibility,0,24,delivery_aware,5,12,80,80,0,1.0,12,0,1.0,0.7647058823529411,0.09090909090909091,0.0,0.0,0.0,0.13043478260869565
constructed_medium,medium_compressibility,0,24,static,1,0,73,94,21,1.2876712328767124,21,44,1.0,0.0,0.0,-0.5,-0.08045977011494253,0.0,0.050505050505050504
constructed_medium,medium_compressibility,0,24,capacity_aware,1,0,99,99,0,1.0,0,0,1.356164383561644,1.0,-0.05319148936170213,1.0,-0.13793103448275862,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,1,0,73,87,14,1.1917808219178083,14,30,1.0,0.3333333333333333,0.07446808510638298,0.0,0.0,0.0,0.12121212121212122
constructed_medium,medium_compressibility,0,24,delivery_aware,1,0,73,87,14,1.1917808219178083,14,33,1.0,0.3333333333333333,0.07446808510638298,0.0,0.0,0.0,0.12121212121212122
constructed_medium,medium_compressibility,0,24,static,1,4,73,90,17,1.2328767123287672,21,37,1.0,0.0,0.0,-0.5,-0.08433734939759036,0.0,0.09090909090909091
