workload,family,seed,n,schedule,B,epsilon,C_star,achieved_slowdown,T_static_at_C_star,T_exe_at_C_star
constructed_medium,medium_compressibility,1,24,smooth,4,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,delivery_aware,4,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,static,4,0.1,2,1.0136986301369864,73,74
constructed_medium,medium_compressibility,1,24,capacity_aware,4,0.1,1,1.0,100,100
constructed_medium,medium_compressibility,1,24,smooth,4,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,delivery_aware,4,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,static,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,capacity_aware,8,0.05,1,1.0,100,100
constructed_medium,medium_compressibility,1,24,smooth,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,delivery_aware,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,static,8,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,capacity_aware,8,0.1,1,1.0,100,100
constructed_medium,medium_compressibility,1,24,smooth,8,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,delivery_aware,8,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,static,12,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,capacity_aware,12,0.05,1,1.0,100,100
constructed_medium,medium_compressibility,1,24,smooth,12,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,delivery_aware,12,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,static,12,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,capacity_aware,12,0.1,1,1.0,100,100
constructed_medium,medium_compressibility,1,24,smooth,12,0.1,1,1.0684931506849316,73,78
constructed_medium,medium_compressibility,1,24,delivery_aware,12,0.1,1,1.0684931506849316,73,78
constructed_low,low_compressibility,1,24,static,0,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,0,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,0,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,0,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,static,0,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,0,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,0,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,0,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,static,4,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,4,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,4,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,4,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,static,4,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,4,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,4,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,4,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,static,8,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,8,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,8,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,8,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,static,8,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,8,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,8,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,8,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,static,12,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,12,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,12,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,12,0.05,1,1.0,100,100
constructed_low,low_compressibility,1,24,static,12,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,capacity_aware,12,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,smooth,12,0.1,1,1.0,100,100
constructed_low,low_compressibility,1,24,delivery_aware,12,0.1,1,1.0,100,100
constructed_high,high_compressibility,2,24,static,0,0.05,10,1.0405405405405406,74,77
constructed_high,high_compressibility,2,24,capacity_aware,0,0.05,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,0,0.05,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,0,0.05,1,1.0,74,74
constructed_high,high_compressibility,2,24,static,0,0.1,6,1.0945945945945945,74,81
constructed_high,high_compressibility,2,24,capacity_aware,0,0.1,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,0,0.1,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,0,0.1,1,1.0,74,74
constructed_high,high_compressibility,2,24,static,4,0.05,10,1.0405405405405406,74,77
constructed_high,high_compressibility,2,24,capacity_aware,4,0.05,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,4,0.05,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,4,0.05,1,1.0135135135135136,74,75
constructed_high,high_compressibility,2,24,static,4,0.1,6,1.0810810810810811,74,80
constructed_high,high_compressibility,2,24,capacity_aware,4,0.1,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,4,0.1,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,4,0.1,1,1.0135135135135136,74,75
constructed_high,high_compressibility,2,24,static,8,0.05,9,1.0405405405405406,74,77
constructed_high,high_compressibility,2,24,capacity_aware,8,0.05,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,8,0.05,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,8,0.05,1,1.0135135135135136,74,75
constructed_high,high_compressibility,2,24,static,8,0.1,5,1.0945945945945945,74,81
constructed_high,high_compressibility,2,24,capacity_aware,8,0.1,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,8,0.1,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,8,0.1,1,1.0135135135135136,74,75
constructed_high,high_compressibility,2,24,static,12,0.05,8,1.0405405405405406,74,77
constructed_high,high_compressibility,2,24,capacity_aware,12,0.05,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,12,0.05,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,12,0.05,1,1.0135135135135136,74,75
constructed_high,high_compressibility,2,24,static,12,0.1,5,1.0810810810810811,74,80
constructed_high,high_compressibility,2,24,capacity_aware,12,0.1,1,1.0,123,123
constructed_high,high_compressibility,2,24,smooth,12,0.1,1,1.0,74,74
constructed_high,high_compressibility,2,24,delivery_aware,12,0.1,1,1.0135135135135136,74,75
constructed_medium,medium_compressibility,2,24,static,0,0.05,2,1.0273972602739727,73,75
constructed_medium,medium_compressibility,2,24,capacity_aware,0,0.05,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,0,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,delivery_aware,0,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,static,0,0.1,2,1.0273972602739727,73,75
constructed_medium,medium_compressibility,2,24,capacity_aware,0,0.1,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,0,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,delivery_aware,0,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,static,4,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,capacity_aware,4,0.05,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,4,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,delivery_aware,4,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,static,4,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,capacity_aware,4,0.1,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,4,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,delivery_aware,4,0.1,2,1.0,73,73
