workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown_vs_own_static,ratio_to_T_ref_asap,Delta_max,L_backlog,max_backlog,mean_backlog,static_depth_penalty_vs_static,Texe_reduction_vs_static,Texe_reduction_vs_smooth,Texe_reduction_vs_ca,Texe_reduction_vs_DA_v1,Delta_reduction_vs_static,Delta_reduction_vs_smooth,Delta_reduction_vs_ca,Delta_reduction_vs_DA_v1,stall_reduction_vs_static,stall_reduction_vs_smooth,stall_reduction_vs_ca,stall_reduction_vs_DA_v1,Lbacklog_reduction_vs_static,Lbacklog_reduction_vs_smooth,Lbacklog_reduction_vs_ca,Lbacklog_reduction_vs_DA_v1
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,12,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.12087912087912088,0.0,0.15789473684210525,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,5,0,80,91,11,1.1375,1.1375,51,11,51,3.625,1.0,0.0,-0.1375,0.010869565217391304,-0.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,capacity_aware,5,0,92,92,0,1.0,1.15,0,0,0,0.0,1.15,-0.01098901098901099,-0.15,0.0,-0.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,5,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.12087912087912088,0.0,0.13043478260869565,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,5,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.12087912087912088,0.0,0.13043478260869565,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,5,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.12087912087912088,0.0,0.13043478260869565,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,static,5,4,80,90,10,1.125,1.125,51,10,47,3.1,1.0,0.0,-0.125,0.021739130434782608,-0.1111111111111111,0.0,0.0,0.0,-9.2,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-9.0
constructed_high,high_compressibility,0,24,capacity_aware,5,4,92,92,0,1.0,1.15,0,0,0,0.0,1.15,-0.022222222222222223,-0.15,0.0,-0.13580246913580246,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,5,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.1111111111111111,0.0,0.13043478260869565,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,5,4,80,81,1,1.0125,1.0125,5,1,1,0.0125,1.0,0.1,-0.0125,0.11956521739130435,0.0,0.9019607843137255,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0
