workload,family,seed,n,schedule,B,epsilon,T_ref_type,T_ref,C_ref_star,achieved_T_exe,achieved_ratio_to_T_ref,T_static_at_C_ref_star,stall_cycles_at_C_ref_star,Delta_max_at_C_ref_star
constructed_high,high_compressibility,1,24,static,4,0.05,best,76,,,,,,
constructed_high,high_compressibility,1,24,capacity_aware,4,0.05,best,76,,,,,,
constructed_high,high_compressibility,1,24,smooth,4,0.05,best,76,1,76,1.0,76,0,0
constructed_high,high_compressibility,1,24,delivery_aware_v1,4,0.05,best,76,1,77,1.013157894736842,76,1,5
constructed_high,high_compressibility,1,24,delivery_aware_v2,4,0.05,best,76,1,76,1.0,76,0,0
constructed_high,high_compressibility,1,24,static,4,0.1,asap,76,6,83,1.0921052631578947,76,7,46
constructed_high,high_compressibility,1,24,capacity_aware,4,0.1,asap,76,8,83,1.0921052631578947,83,0,0
constructed_high,high_compressibility,1,24,smooth,4,0.1,asap,76,1,76,1.0,76,0,0
constructed_high,high_compressibility,1,24,delivery_aware_v1,4,0.1,asap,76,1,77,1.013157894736842,76,1,5
constructed_high,high_compressibility,1,24,delivery_aware_v2,4,0.1,asap,76,1,76,1.0,76,0,0
constructed_high,high_compressibility,1,24,static,4,0.1,best,76,6,83,1.0921052631578947,76,7,46
constructed_high,high_compressibility,1,24,capacity_aware,4,0.1,best,76,8,83,1.0921052631578947,83,0,0
constructed_high,high_compressibility,1,24,smooth,4,0.1,best,76,1,76,1.0,76,0,0
