trial,match_rate,mean_regret,median_regret,p95_regret,nontrivial_match_rate,nontrivial_mean_regret,nontrivial_median_regret,nontrivial_p95_regret,excluding_ties_match_rate,excluding_ties_mean_regret,excluding_ties_median_regret,excluding_ties_p95_regret,num_cases,num_nontrivial_cases,num_unique_best_cases
258,0.8502747252747253,0.9968301028969156,0.0,2.712702702702703,0.5555555555555556,2.9851911503059227,0.0,8.994736842105263,0.05405405405405406,14.023296871993297,1.0691424075531077,83.2,1456,486,74
259,0.8461538461538461,0.7166534403206267,0.0,2.8769230769230774,0.5432098765432098,2.145814152958028,0.0,9.866315789473685,0.05405405405405406,7.3074233252990926,1.864516129032258,37.754634146341466,1456,486,74
260,0.8440934065934066,0.9395719557216958,0.0,3.2039024390243904,0.5370370370370371,2.8137413703545833,0.0,8.843333333333334,0.10810810810810811,12.542462209223695,1.7697379032258067,78.31341463414635,1456,486,74
261,0.8413461538461539,0.7490742251178129,0.0,2.555844155844156,0.5288065843621399,2.242943088482108,0.0,6.924675324675325,0.06756756756756757,9.15307080943699,1.4838709677419355,47.70258064516129,1456,486,74
262,0.8578296703296703,0.8003481838927209,0.0,2.6054794520547944,0.5761316872427984,2.397107933637452,0.0,9.859480519480519,0.013513513513513514,9.572279846093178,1.4838709677419355,46.450322580645164,1456,486,74
263,0.8516483516483516,0.8631131745768374,0.0,2.425844155844156,0.5596707818930041,2.5846796721099046,0.0,7.550476190476191,0.04054054054054054,11.639656807147025,1.0073170731707317,75.1290243902439,1456,486,74
264,0.8379120879120879,0.9021011943944126,0.0,2.721578947368421,0.5164609053497943,2.702037259812827,0.0,9.859480519480519,0.02702702702702703,11.574658008649065,1.5019354838709678,48.65560975609756,1456,486,74
265,0.8489010989010989,0.8591828966696852,0.0,2.4170731707317072,0.551440329218107,2.572905012371605,0.0,8.309677419354838,0.013513513513513514,11.951711951417684,1.668125,75.1290243902439,1456,486,74
266,0.8537087912087912,0.7337317296921076,0.0,2.34,0.5637860082304527,2.197621744161477,0.0,11.348441558441559,0.04054054054054054,8.601603536944364,2.016012145748988,40.28903225806452,1456,486,74
267,0.8495879120879121,0.7808889660980094,0.0,2.70987012987013,0.5534979423868313,2.3383454179017287,0.0,7.7621052631578955,0.12162162162162163,9.830756587917703,1.4838709677419355,47.04341463414634,1456,486,74
268,0.8440934065934066,0.714310921060748,0.0,2.6028571428571428,0.5370370370370371,2.1387962351753464,0.0,8.957073170731707,0.05405405405405406,7.7553645694300855,1.258032581453634,40.28903225806452,1456,486,74
269,0.8543956043956044,0.6335030330256165,0.0,2.3751351351351353,0.5679012345679012,1.8967051138190674,0.0,6.395584415584416,0.0945945945945946,6.719734426210652,1.4838709677419355,25.752903225806453,1456,486,74
270,0.8509615384615384,0.9191213444003657,0.0,2.70987012987013,0.5576131687242798,2.75247369528492,0.0,12.113658536585366,0.04054054054054054,12.65177799092309,1.613993855606759,72.01463414634148,1456,486,74
271,0.8598901098901099,0.6964899053946699,0.0,2.5774193548387094,0.5823045267489712,2.0860495298053676,0.0,7.198947368421052,0.08108108108108109,8.517259091356726,1.971086587436333,25.752903225806453,1456,486,74
272,0.8482142857142857,0.8982123901624908,0.0,3.2039024390243904,0.5493827160493827,2.6898328776504634,0.0,10.47857142857143,0.02702702702702703,11.381088608902727,2.0344689221085757,65.95585365853658,1456,486,74
273,0.8502747252747253,0.9835826179535602,0.0,2.9796774193548385,0.5534979423868313,2.9461462159900265,0.0,9.88054054054054,0.013513513513513514,13.569675875327482,1.8084475806451614,84.83219512195123,1456,486,74
274,0.8509615384615384,0.8924929078226906,0.0,2.7358536585365854,0.5576131687242798,2.6726089362563927,0.0,9.2725,0.08108108108108109,11.674576300699226,1.4838709677419355,48.65560975609756,1456,486,74
275,0.853021978021978,0.9979455221143835,0.0,3.222876712328768,0.565843621399177,2.9879788449795903,0.0,12.270731707317072,0.08108108108108109,13.508050701189754,1.642258064516129,75.1290243902439,1456,486,74
276,0.8427197802197802,0.8878476530092129,0.0,2.596842105263158,0.5349794238683128,2.658138315314717,0.0,10.42,0.06756756756756757,11.470171241456466,1.4838709677419355,75.1290243902439,1456,486,74
277,0.8516483516483516,0.7337176142815763,0.0,2.7891780821917806,0.5576131687242798,2.197579456017993,0.0,7.7621052631578955,0.05405405405405406,9.087177686210099,1.6591776315789475,46.450322580645164,1456,486,74
278,0.8461538461538461,0.7161505627107639,0.0,2.9625000000000004,0.5452674897119342,2.14375361680743,0.0,8.355263157894736,0.08108108108108109,8.34238520755271,1.4929881154499152,47.70258064516129,1456,486,74
279,0.8447802197802198,1.0062494764493901,0.0,3.2039024390243904,0.5390946502057613,3.0134105081092204,0.0,10.42,0.02702702702702703,14.36739680667861,2.6494991511035653,83.2,1456,486,74
280,0.8502747252747253,1.029737518645046,0.0,2.596842105263158,0.5534979423868313,3.0844209802015556,0.0,11.878947368421054,0.05405405405405406,13.789607722643563,1.4838709677419355,101.13707317073171,1456,486,74
281,0.8509615384615384,1.0411309064335645,0.0,2.7128571428571426,0.5576131687242798,3.1180002844214165,0.0,11.348441558441559,0.06756756756756757,14.369552669270746,1.4838709677419355,84.83219512195123,1456,486,74
282,0.8578296703296703,0.7635788271347589,0.0,2.8153658536585366,0.5802469135802469,2.285843232036517,0.0,8.65,0.02702702702702703,8.853701346072564,1.7681513647642682,46.450322580645164,1456,486,74
283,0.8523351648351648,0.7219238697725653,0.0,2.7347619047619047,0.5637860082304527,2.1610497795275587,0.0,8.046486486486486,0.04054054054054054,8.885507229737529,1.8146634615384616,40.7690243902439,1456,486,74
284,0.8495879120879121,0.7487028601255993,0.0,2.704805194805195,0.5534979423868313,2.241919553095496,0.0,7.5875,0.08108108108108109,9.208326710677559,1.8133713611329663,50.28780487804878,1456,486,74
285,0.8495879120879121,0.9399960597002329,0.0,2.9796774193548385,0.551440329218107,2.815565909782527,0.0,12.113658536585366,0.06756756756756757,12.156441701094302,2.5985314091680816,65.95585365853658,1456,486,74
286,0.8516483516483516,1.0658270975151947,0.0,2.5774193548387094,0.5617283950617284,3.1913442231351072,0.0,10.481463414634147,0.04054054054054054,15.61173371986079,1.5019354838709678,101.13707317073171,1456,486,74
287,0.8482142857142857,0.7785085567910562,0.0,3.1031578947368423,0.5493827160493827,2.3312139859039434,0.0,8.736341463414634,0.013513513513513514,9.129236374162328,1.687854251012146,45.19806451612903,1456,486,74
288,0.8468406593406593,0.8562916005572199,0.0,2.2984210526315794,0.5432098765432098,2.5647079638092842,0.0,8.309677419354838,0.02702702702702703,11.438123451314526,1.8195872420262664,83.2,1456,486,74
289,0.8571428571428571,0.9683869184330272,0.0,2.50987012987013,0.5761316872427984,2.9000676783951156,0.0,8.35064935064935,0.05405405405405406,13.558050922632221,1.5034335839598998,75.1290243902439,1456,486,74
290,0.8351648351648352,0.823061487289063,0.0,3.2039024390243904,0.5102880658436214,2.464600400665936,0.0,11.871428571428572,0.02702702702702703,9.492468803395266,1.8084475806451614,43.86121951219513,1456,486,74
291,0.8489010989010989,0.8941962675681304,0.0,3.2039024390243904,0.5493827160493827,2.6783550098970514,0.0,8.843333333333334,0.02702702702702703,11.432757187516236,2.268292682926829,50.28780487804878,1456,486,74
292,0.8495879120879121,0.8656521823200256,0.0,2.8153658536585366,0.551440329218107,2.5927511881850975,0.0,9.88054054054054,0.05405405405405406,10.486301139214667,1.2469354838709676,47.04341463414634,1456,486,74
293,0.8358516483516484,0.8009790655964386,0.0,2.7891780821917806,0.5123456790123457,2.3984440097514073,0.0,8.957073170731707,0.08108108108108109,9.19835449309791,1.4337775891341256,47.70258064516129,1456,486,74
294,0.845467032967033,0.8150135552594455,0.0,2.70987012987013,0.5411522633744856,2.440489723638934,0.0,8.843333333333334,0.04054054054054054,10.261529111019799,1.4838709677419355,45.19806451612903,1456,486,74
295,0.8447802197802198,0.8341408943507415,0.0,2.492857142857143,0.5370370370370371,2.4984360316984544,0.0,9.866315789473685,0.02702702702702703,10.540874711623113,1.8084475806451614,47.04341463414634,1456,486,74
296,0.8523351648351648,0.7773934004137216,0.0,2.70987012987013,0.5576131687242798,2.328981051445224,0.0,7.604545454545455,0.0945945945945946,9.782896656596034,1.0073170731707317,46.450322580645164,1456,486,74
297,0.8406593406593407,0.6959607308604535,0.0,2.965844155844156,0.5246913580246914,2.0844641838756988,0.0,7.757662337662337,0.05405405405405406,7.0786937041321805,1.4838709677419355,37.94451612903226,1456,486,74
298,0.8605769230769231,1.125141298276621,0.0,3.0580952380952375,0.5864197530864198,3.369685738173453,0.0,12.667894736842104,0.04054054054054054,16.251724777508972,1.4838709677419355,107.39463414634147,1456,486,74
299,0.8523351648351648,1.0626580773249756,0.0,3.129189189189189,0.5617283950617284,3.182404176575995,0.0,12.667894736842104,0.05405405405405406,14.578128433406164,1.8757565789473685,78.31341463414635,1456,486,74
300,0.8482142857142857,1.140214849569755,0.0,2.8769230769230774,0.551440329218107,3.4142013568623497,0.0,13.420526315789475,0.02702702702702703,16.507067906462733,1.3669354838709677,84.83219512195123,1456,486,74
301,0.8543956043956044,1.023016018334785,0.0,2.805,0.5699588477366255,3.0630871628744556,0.0,12.213809523809523,0.05405405405405406,14.791724941393715,1.8068610421836229,83.2,1456,486,74
302,0.8447802197802198,0.8184103758093345,0.0,3.2039024390243904,0.5370370370370371,2.4513092107184367,0.0,9.866315789473685,0.06756756756756757,9.590462442705523,1.8146634615384616,46.450322580645164,1456,486,74
303,0.8592032967032966,0.6559988569490978,0.0,2.268292682926829,0.5802469135802469,1.9647430142976452,0.0,8.0475,0.06756756756756757,7.449753251531043,1.4838709677419355,40.7690243902439,1456,486,74
304,0.8489010989010989,1.1230960661857958,0.0,2.9796774193548385,0.5493827160493827,3.36411243127014,0.0,12.985853658536586,0.08108108108108109,16.30131328685816,2.2794736842105263,101.13707317073171,1456,486,74
305,0.8475274725274725,0.9845910179131564,0.0,3.0374999999999996,0.5493827160493827,2.947970289183321,0.0,11.348441558441559,0.04054054054054054,13.007589596821656,1.642928692699491,78.31341463414635,1456,486,74
306,0.8482142857142857,0.8011561718831801,0.0,2.721578947368421,0.551440329218107,2.398420627002981,0.0,9.2725,0.05405405405405406,9.55057826898827,1.4838709677419355,47.70258064516129,1456,486,74
307,0.8502747252747253,0.9614956385875222,0.0,3.0580952380952375,0.5534979423868313,2.8799761708111142,0.0,9.88054054054054,0.04054054054054054,13.475046115307592,1.4838709677419355,81.56780487804878,1456,486,74
308,0.8537087912087912,0.7913698447060582,0.0,2.4587804878048782,0.5679012345679012,2.3691019184229614,0.0,7.5875,0.06756756756756757,10.83696038870508,1.5413157894736844,45.19806451612903,1456,486,74
309,0.8475274725274725,0.8343706022685204,0.0,2.6086486486486486,0.5493827160493827,2.4979272332602966,0.0,8.0475,0.04054054054054054,10.727253095394452,1.4838709677419355,81.56780487804878,1456,486,74
310,0.8646978021978022,0.7348270735132872,0.0,2.311780821917808,0.5967078189300411,2.2008142366982435,0.0,8.309677419354838,0.12162162162162163,9.658276118163872,1.4838709677419355,45.19806451612903,1456,486,74
311,0.8619505494505495,0.9976526752445872,0.0,2.7073684210526316,0.588477366255144,2.988209455053743,0.0,8.843333333333334,0.08108108108108109,15.23185192248259,2.728170426065163,83.2,1456,486,74
312,0.8372252747252747,0.958342967640339,0.0,2.7073684210526316,0.51440329218107,2.8704421005850485,0.0,11.894594594594595,0.06756756756756757,12.135732673986485,1.4838709677419355,83.2,1456,486,74
313,0.8550824175824175,0.7911002220661564,0.0,2.4573684210526316,0.5699588477366255,2.36884813283764,0.0,9.2725,0.06756756756756757,10.219917999413838,1.4943164362519201,48.65560975609756,1456,486,74
314,0.8557692307692307,1.0231765131182282,0.0,2.9625000000000004,0.5720164609053497,3.06412195952862,0.0,13.477500000000001,0.12162162162162163,13.571998363313014,1.5671428571428572,72.01463414634148,1456,486,74
