workload,source,family,role,machine,model,tiles,ccz_share,regime,decision_sites,stages,max_stage_width,wide_stage_fraction,consuming_families,mix_drift,alternation_rate,t_rate,ccz_rate,factory_tiles,makespan_fixed_t,makespan_fixed_ccz,makespan_uniform_oracle,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_best_simple,best_simple_policy,makespan_best_non_stateful,best_non_stateful_policy,makespan_stagedp,seconds_stagedp,makespan_oracle,oracle_status,oracle_seconds,oracle_simulations,lower_bound,headroom_vs_best_non_stateful,residual_headroom_vs_stagedp,max_possible_headroom_vs_stagedp,oracle_heterogeneity,stagedp_heterogeneity,oracle_t_stalls,oracle_ccz_stalls,oracle_t_waste,oracle_ccz_waste,stagedp_t_stalls,stagedp_ccz_stalls,stagedp_t_waste,stagedp_ccz_waste,oracle_space_time,stagedp_space_time,policy_seconds_total,model,tiles,regime
qmpa_draper16,qmpa,parallel_adder,target,C_800_0.5,C,800,0.5,standard,16,1,16,1.0,1,0.0,0.0,2.5455,0.6667,788,38,34,34,34,34,32,34,34,38,32,two_term_descent,32,two_term_descent,29,0.054,28,bounded,30.687,5663,8.0,0.125,0.0345,0.7241,0.375,0.4375,19,19,0,0,20,19,0,0,22064,22852,0.495,C,800,standard
qmpa_draper8,qmpa,parallel_adder,target,A_400_0.5,A,400,0.5,standard,8,1,8,1.0,1,0.0,0.0,1.6364,0.5,414,34,24,24,24,24,22,24,24,34,22,two_term_descent,22,two_term_descent,21,0.061,21,proven,0.209,256,14.0,0.0455,0.0,0.3333,0.25,0.25,11,13,0,0,11,13,0,0,8694,8694,0.042,A,400,standard
qmpa_draper8,qmpa,parallel_adder,target,A_800_0.5,A,800,0.5,standard,8,1,8,1.0,1,0.0,0.0,3.2727,1.0,828,25,18,18,18,18,18,18,18,25,18,uniform_min_teq,18,fixed_ccz,18,0.062,18,proven,0.25,256,11.0,0.0,0.0,0.3889,0.0,0.0,0,10,0,0,0,10,0,0,14904,14904,0.053,A,800,standard
qmpa_draper8,qmpa,parallel_adder,target,B_400_0.5,B,400,0.5,standard,8,1,8,1.0,1,0.0,0.0,1.2727,0.3333,386,43,33,33,33,33,27,33,33,43,27,two_term_descent,27,two_term_descent,28,0.088,27,proven,0.726,256,8.0,0.0,0.0357,0.7143,0.25,0.375,14,18,0,0,19,18,0,0,10422,10808,0.149,B,400,standard
qmpa_draper8,qmpa,parallel_adder,target,C_400_0.5,C,400,0.5,standard,8,1,8,1.0,1,0.0,0.0,1.2727,0.3333,394,39,33,33,33,33,33,33,33,39,33,uniform_min_teq,33,fixed_ccz,33,0.088,27,proven,0.72,256,8.0,0.1818,0.1818,0.7576,0.25,0.0,15,19,0,0,0,25,0,0,10638,13002,0.153,C,400,standard
qmpa_draper8,qmpa,parallel_adder,target,C_800_0.5,C,800,0.5,standard,8,1,8,1.0,1,0.0,0.0,2.5455,0.6667,788,27,22,22,22,22,25,22,22,27,22,uniform_min_teq,22,fixed_ccz,22,0.11,22,proven,1.346,256,8.0,0.0,0.0,0.6364,0.0,0.0,0,13,0,0,0,13,0,0,17336,17336,0.265,C,800,standard
qt_aliassamp8,qualtran,state_preparation,target,A_400_0.5,A,400,0.5,standard,33,13,7,0.4615,1,0.0,0.0,1.6364,0.5,414,169,139,139,139,139,139,139,139,169,139,uniform_min_teq,139,fixed_ccz,138,1.849,136,bounded,31.551,5867,134.0,0.0216,0.0145,0.029,0.3939,0.1515,34,1,95,21,8,22,158,7,56304,57132,0.724,A,400,standard
qt_aliassamp8,qualtran,state_preparation,target,A_800_0.5,A,800,0.5,standard,33,13,7,0.4615,1,0.0,0.0,3.2727,1.0,828,167,136,136,136,136,136,136,136,167,136,uniform_min_teq,136,fixed_ccz,136,1.951,136,bounded,31.275,6248,134.0,0.0,0.0,0.0147,0.0,0.0909,0,14,381,66,6,4,369,69,112608,112608,0.722,A,800,standard
qt_aliassamp8,qualtran,state_preparation,target,B_400_0.5,B,400,0.5,standard,33,13,7,0.4615,1,0.0,0.0,1.2727,0.3333,386,181,159,159,159,159,159,159,159,181,159,uniform_min_teq,159,fixed_ccz,143,2.127,140,bounded,33.013,4085,134.0,0.1195,0.021,0.0629,0.4848,0.3333,44,16,0,0,26,25,0,0,54040,55198,1.843,B,400,standard
qt_aliassamp8,qualtran,state_preparation,target,C_400_0.5,C,400,0.5,standard,33,13,7,0.4615,1,0.0,0.0,1.2727,0.3333,394,178,159,159,159,159,159,159,159,178,159,uniform_min_teq,159,fixed_ccz,143,2.113,140,bounded,32.873,4076,134.0,0.1195,0.021,0.0629,0.4545,0.3636,34,16,0,0,27,20,0,0,55160,56342,1.815,C,400,standard
qt_aliassamp8,qualtran,state_preparation,target,C_800_0.5,C,800,0.5,standard,33,13,7,0.4615,1,0.0,0.0,2.5455,0.6667,788,167,144,144,144,144,144,144,144,167,144,uniform_min_teq,144,fixed_ccz,141,2.26,141,bounded,34.665,3164,134.0,0.0208,0.0,0.0496,0.3636,0.2727,22,3,0,0,14,8,0,0,111108,111108,3.093,C,800,standard
qt_qft6,qualtran,qft,target,A_400_0.5,A,400,0.5,standard,21,21,1,0.0,3,0.6833,0.55,1.6364,0.5,414,644,489,489,489,609,578,489,489,644,489,uniform_min_teq,489,fixed_ccz,481,1.181,459,bounded,40.255,4986,414.0,0.0613,0.0457,0.1393,0.2857,0.1429,0,2,687,0,0,2,727,47,190026,199134,3.3,A,400,standard
qt_qft6,qualtran,qft,target,A_800_0.5,A,800,0.5,standard,21,21,1,0.0,3,0.6833,0.55,3.2727,1.0,828,644,489,417,489,609,417,417,417,644,417,two_term_descent,417,uniform_oracle,417,1.294,417,bounded,38.07,3964,414.0,0.0,0.0,0.0072,0.0,0.0,0,2,1296,89,0,2,1296,89,345276,345276,3.08,A,800,standard
qt_qft6,qualtran,qft,target,B_400_0.5,B,400,0.5,standard,21,21,1,0.0,3,0.6833,0.55,1.2727,0.3333,386,648,492,492,492,612,547,492,492,648,492,uniform_min_teq,492,fixed_ccz,492,1.515,486,bounded,40.646,3635,414.0,0.0122,0.0122,0.1585,0.1905,0.0,0,5,0,0,0,5,0,0,187596,189912,4.083,B,400,standard
qt_qft6,qualtran,qft,target,C_400_0.5,C,400,0.5,standard,21,21,1,0.0,3,0.6833,0.55,1.2727,0.3333,394,644,492,492,492,612,548,492,492,644,492,uniform_min_teq,492,fixed_ccz,492,1.576,486,bounded,41.474,3587,414.0,0.0122,0.0122,0.1585,0.1905,0.0,0,5,0,0,0,5,0,0,191484,193848,4.192,C,400,standard
qt_qft6,qualtran,qft,target,C_800_0.5,C,800,0.5,standard,21,21,1,0.0,3,0.6833,0.55,2.5455,0.6667,788,644,491,452,491,611,448,491,491,644,448,two_term_descent,448,two_term_descent,452,1.543,433,bounded,45.899,2425,414.0,0.0335,0.042,0.0841,0.0952,0.0,0,4,0,0,0,37,0,0,341204,356176,4.156,C,800,standard
