workload,source,family,role,machine,model,tiles,ccz_share,regime,decision_sites,stages,max_stage_width,wide_stage_fraction,consuming_families,mix_drift,alternation_rate,t_rate,ccz_rate,factory_tiles,makespan_fixed_t,makespan_fixed_ccz,makespan_uniform_oracle,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_best_simple,best_simple_policy,makespan_best_non_stateful,best_non_stateful_policy,residual_headroom_vs_existing_search,makespan_stagedp,seconds_stagedp,makespan_oracle,oracle_status,oracle_seconds,oracle_simulations,lower_bound,headroom_vs_best_non_stateful,residual_headroom_vs_stagedp,max_possible_headroom_vs_stagedp,oracle_heterogeneity,stagedp_heterogeneity,oracle_t_stalls,oracle_ccz_stalls,oracle_t_waste,oracle_ccz_waste,stagedp_t_stalls,stagedp_ccz_stalls,stagedp_t_waste,stagedp_ccz_waste,oracle_space_time,stagedp_space_time,policy_seconds_total,model,tiles,regime
qt_halfgt8,qualtran,comparator,control,A_3200_0.5_abundant,A,3200,0.5,abundant,8,8,1,0.0,1,0.0,0.0,13.1818,3.6667,3179,92,71,71,71,71,71,71,71,92,71,71,uniform_min_teq,71,fixed_ccz,0.0,71,0.093,71,bounded,20.89,7881,70.0,0.0,0.0,0.0141,0.0,0.0,0,0,773,202,0,0,773,202,225709,225709,0.91,A,3200,abundant
qt_halfgt8,qualtran,comparator,control,A_400_0.25,A,400,0.25,standard,8,8,1,0.0,1,0.0,0.0,2.4545,0.1667,369,92,71,71,71,92,71,71,71,92,71,71,uniform_min_teq,71,fixed_ccz,0.0,71,0.088,71,bounded,20.414,16322,70.0,0.0,0.0,0.0141,0.0,0.0,0,0,118,0,0,0,118,0,26199,26199,0.394,A,400,standard
qt_halfgt8,qualtran,comparator,control,A_400_0.5,A,400,0.5,standard,8,8,1,0.0,1,0.0,0.0,1.6364,0.5,414,92,71,71,71,71,71,71,71,92,71,71,uniform_min_teq,71,fixed_ccz,0.0,71,0.12,71,bounded,20.405,17081,70.0,0.0,0.0,0.0141,0.0,0.0,0,0,68,0,0,0,68,0,29394,29394,0.409,A,400,standard
qt_halfgt8,qualtran,comparator,control,A_400_0.75,A,400,0.75,standard,8,8,1,0.0,1,0.0,0.0,0.8182,0.6667,387,93,71,71,71,71,71,71,71,71,71,71,uniform_min_teq,71,fixed_ccz,0.0,71,0.115,71,bounded,20.388,17797,70.0,0.0,0.0,0.0141,0.0,0.0,0,0,18,4,0,0,18,4,27477,27477,0.387,A,400,standard
qt_halfgt8,qualtran,comparator,control,A_800_0.5,A,800,0.5,standard,8,8,1,0.0,1,0.0,0.0,3.2727,1.0,828,92,71,71,71,71,71,71,71,92,71,71,uniform_min_teq,71,fixed_ccz,0.0,71,0.12,71,bounded,20.46,14972,70.0,0.0,0.0,0.0141,0.0,0.0,0,0,168,26,0,0,168,26,58788,58788,0.473,A,800,standard
qt_halfgt8,qualtran,comparator,control,B_400_0.25,B,400,0.25,standard,8,8,1,0.0,1,0.0,0.0,1.8182,0.1667,408,95,73,73,73,95,73,73,73,95,73,73,uniform_min_teq,73,fixed_ccz,0.0,73,0.119,73,bounded,21.387,5114,70.0,0.0,0.0,0.0411,0.0,0.25,0,2,0,0,0,2,0,0,29784,29784,1.366,B,400,standard
qt_halfgt8,qualtran,comparator,control,B_400_0.5,B,400,0.5,standard,8,8,1,0.0,1,0.0,0.0,1.2727,0.3333,386,96,74,74,74,74,74,74,74,96,74,74,uniform_min_teq,74,fixed_ccz,0.0,74,0.142,74,bounded,21.16,6199,70.0,0.0,0.0,0.0541,0.0,0.0,0,3,0,0,0,3,0,0,28564,28564,1.113,B,400,standard
qt_halfgt8,qualtran,comparator,control,B_400_0.5_scarce,B,400,0.5,scarce,8,8,1,0.0,1,0.0,0.0,0.7426,0.1702,370,98,73,73,73,98,73,73,73,98,73,73,uniform_min_teq,73,fixed_ccz,0.0,73,0.119,73,bounded,20.808,8527,70.0,0.0,0.0,0.0411,0.0,0.0,0,2,0,0,0,2,0,0,27010,27010,0.782,B,400,scarce
qt_halfgt8,qualtran,comparator,control,B_400_0.75,B,400,0.75,standard,8,8,1,0.0,1,0.0,0.0,0.7273,0.6667,442,97,74,74,74,74,74,74,74,74,74,74,uniform_min_teq,74,fixed_ccz,0.0,74,0.143,74,bounded,20.959,7313,70.0,0.0,0.0,0.0541,0.0,0.0,0,3,0,0,0,3,0,0,32708,32708,0.956,B,400,standard
qt_halfgt8,qualtran,comparator,control,B_800_0.5,B,800,0.5,standard,8,8,1,0.0,1,0.0,0.0,2.5455,0.6667,772,94,73,73,73,73,73,73,73,94,73,73,uniform_min_teq,73,fixed_ccz,0.0,73,0.176,73,bounded,21.825,3803,70.0,0.0,0.0,0.0411,0.0,0.0,0,2,0,0,0,2,0,0,56356,56356,1.857,B,800,standard
qt_halfgt8,qualtran,comparator,control,C_400_0.25,C,400,0.25,standard,8,8,1,0.0,1,0.0,0.0,1.8182,0.1667,412,93,73,73,73,93,73,73,73,93,73,73,uniform_min_teq,73,fixed_ccz,0.0,73,0.146,73,bounded,21.408,5140,70.0,0.0,0.0,0.0411,0.0,0.0,0,2,0,0,0,2,0,0,30076,30076,1.426,C,400,standard
qt_halfgt8,qualtran,comparator,control,C_400_0.5,C,400,0.5,standard,8,8,1,0.0,1,0.0,0.0,1.2727,0.3333,394,92,74,74,74,74,74,74,74,92,74,74,uniform_min_teq,74,fixed_ccz,0.0,74,0.136,74,bounded,21.122,6196,70.0,0.0,0.0,0.0541,0.0,0.0,0,3,0,0,0,3,0,0,29156,29156,1.1,C,400,standard
qt_halfgt8,qualtran,comparator,control,C_400_0.5_scarce,C,400,0.5,scarce,8,8,1,0.0,1,0.0,0.0,0.7426,0.1702,378,93,73,73,73,93,73,73,73,93,73,73,uniform_min_teq,73,fixed_ccz,0.0,73,0.117,73,bounded,20.807,8570,70.0,0.0,0.0,0.0411,0.0,0.0,0,2,0,0,0,2,0,0,27594,27594,0.797,C,400,scarce
qt_halfgt8,qualtran,comparator,control,C_400_0.75,C,400,0.75,standard,8,8,1,0.0,1,0.0,0.0,0.7273,0.5,376,93,75,75,75,75,75,75,75,75,75,75,uniform_min_teq,75,fixed_ccz,0.0,75,0.137,75,bounded,20.879,7828,70.0,0.0,0.0,0.0667,0.0,0.0,0,4,0,0,0,4,0,0,28200,28200,0.884,C,400,standard
qt_halfgt8,qualtran,comparator,control,C_800_0.5,C,800,0.5,standard,8,8,1,0.0,1,0.0,0.0,2.5455,0.6667,788,92,73,73,73,73,73,73,73,92,73,73,uniform_min_teq,73,fixed_ccz,0.0,73,0.179,73,bounded,21.857,3791,70.0,0.0,0.0,0.0411,0.0,0.0,0,2,0,0,0,2,0,0,57524,57524,1.835,C,800,standard
