workload,family,seed,n,schedule,C_nominal,eta,C_eff,B,T_ref_asap,T_static,T_exe,ratio_to_T_ref,stall_cycles,Delta_max,BacklogArea,L_backlog,max_backlog,target_violation_5pct,degradation_vs_eta_1
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,0.5,1,4,26,33,35,1.3461538461538463,2,6,8,6,2,1,0.06060606060606061
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,1.0,3,0,82,114,114,1.3902439024390243,0,0,0,0,0,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0.9,2,0,82,114,156,1.9024390243902438,42,84,5216,111,84,1,0.3684210526315789
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0.75,2,0,82,114,156,1.9024390243902438,42,84,5216,111,84,1,0.3684210526315789
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0.5,1,0,82,114,288,3.5121951219512195,174,174,11769,113,174,1,1.5263157894736843
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,1.0,3,0,82,91,112,1.3658536585365855,21,63,1351,45,63,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0.9,2,0,82,91,156,1.9024390243902438,65,130,5400,88,130,1,0.39285714285714285
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0.75,2,0,82,91,156,1.9024390243902438,65,130,5400,88,130,1,0.39285714285714285
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0.5,1,0,82,91,288,3.5121951219512195,197,197,9584,90,197,1,1.5714285714285714
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,1.0,3,0,82,91,112,1.3658536585365855,21,63,1365,45,63,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0.9,2,0,82,91,156,1.9024390243902438,65,130,5416,88,130,1,0.39285714285714285
