workload,family,seed,n,C,B,T_ref_asap,smooth_T_static,smooth_T_exe,smooth_ratio_to_T_ref,smooth_stall_cycles,smooth_Delta_max,smooth_L_backlog,smooth_BacklogArea,smooth_max_backlog,smooth_num_backlog_intervals,smooth_longest_backlog_interval,failure_reason,failure_score,T_count,critical_path_length,slack_ratio,mean_slack,median_slack,p90_slack,fraction_zero_slack,fraction_slack_ge_2,fraction_slack_ge_5,ready_T_width_peak,ready_T_width_mean,D_peak,D_mean,D_std,D_cv,D_peak_to_mean,num_demand_peaks,demand_entropy,demand_gini,B_over_C,mean_demand_over_C,peak_demand_over_C,supply_tightness
constructed_medium,medium_compressibility,3,24,1,4,73.0,73,84,1.1506849315068493,11,15,24,128,11,2,21,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,15.30068493150685,50,73,0.84,6.24,7.0,8.0,0.16,0.84,0.84,9,0.684931506849315,8,0.684931506849315,1.7507470994599967,2.556090765211595,11.680000000000001,2,3.658171939471839,0.8586301369863014,4.0,0.684931506849315,8.0,0.6493506493506493
constructed_medium,medium_compressibility,3,24,1,8,73.0,73,80,1.095890410958904,7,15,15,47,7,2,12,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,6.245890410958904,50,73,0.84,6.24,7.0,8.0,0.16,0.84,0.84,9,0.684931506849315,8,0.684931506849315,1.7507470994599967,2.556090765211595,11.680000000000001,2,3.658171939471839,0.8586301369863014,8.0,0.684931506849315,8.0,0.6172839506172839
constructed_medium,medium_compressibility,3,24,1,12,73.0,73,76,1.0410958904109588,3,15,3,6,3,1,3,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea,0.9000000000000001,50,73,0.84,6.24,7.0,8.0,0.16,0.84,0.84,9,0.684931506849315,8,0.684931506849315,1.7507470994599967,2.556090765211595,11.680000000000001,2,3.658171939471839,0.8586301369863014,12.0,0.684931506849315,8.0,0.5882352941176471
constructed_medium,medium_compressibility,4,24,1,0,73.0,73,89,1.2191780821917808,16,16,34,257,16,2,30,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,29.269178082191786,50,73,0.84,5.48,6.0,7.0,0.16,0.84,0.84,8,0.684931506849315,8,0.684931506849315,1.781770032120723,2.601384246896256,11.680000000000001,2,3.630435500513582,0.8602739726027397,0.0,0.684931506849315,8.0,0.684931506849315
constructed_medium,medium_compressibility,4,24,1,4,73.0,73,85,1.1643835616438356,12,16,25,136,12,1,25,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,16.214383561643835,50,73,0.84,5.48,6.0,7.0,0.16,0.84,0.84,8,0.684931506849315,8,0.684931506849315,1.781770032120723,2.601384246896256,11.680000000000001,2,3.630435500513582,0.8602739726027397,4.0,0.684931506849315,8.0,0.6493506493506493
constructed_medium,medium_compressibility,4,24,1,8,73.0,73,81,1.1095890410958904,8,16,16,51,8,2,14,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,6.759589041095891,50,73,0.84,5.48,6.0,7.0,0.16,0.84,0.84,8,0.684931506849315,8,0.684931506849315,1.781770032120723,2.601384246896256,11.680000000000001,2,3.630435500513582,0.8602739726027397,8.0,0.684931506849315,8.0,0.6172839506172839
constructed_medium,medium_compressibility,4,24,1,12,73.0,73,77,1.0547945205479452,4,16,4,10,4,1,4,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,1.404794520547945,50,73,0.84,5.48,6.0,7.0,0.16,0.84,0.84,8,0.684931506849315,8,0.684931506849315,1.781770032120723,2.601384246896256,11.680000000000001,2,3.630435500513582,0.8602739726027397,12.0,0.684931506849315,8.0,0.5882352941176471
multiplier_n4,semi_real_multiplier,0,4,1,0,22.0,22,24,1.0909090909090908,2,2,4,5,2,2,3,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,0.9409090909090908,19,22,0.8421052631578947,3.5789473684210527,4,5.0,0.15789473684210525,0.8421052631578947,0.21052631578947367,5,0.8636363636363636,4,0.8636363636363636,1.0133407640730887,1.173341937347787,4.631578947368421,1,3.4713544870139286,0.562200956937799,0.0,0.8636363636363636,4.0,0.8636363636363636
multiplier_n6,semi_real_multiplier,0,6,1,0,32.0,42,48,1.5,6,6,10,31,6,1,10,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,4.55,40,32,0.9,4.65,5.0,6.0,0.1,0.9,0.9,7,1.25,6,0.9523809523809523,1.1116778599932144,1.1672617529928753,6.300000000000001,1,4.643942707918267,0.4178571428571429,0.0,0.9523809523809523,6.0,1.25
multiplier_n6,semi_real_multiplier,0,6,1,4,32.0,42,44,1.375,2,6,2,3,2,1,2,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,0.825,40,32,0.9,4.65,5.0,6.0,0.1,0.9,0.9,7,1.25,6,0.9523809523809523,1.1116778599932144,1.1672617529928753,6.300000000000001,1,4.643942707918267,0.4178571428571429,4.0,0.9523809523809523,6.0,1.1111111111111112
