workload,family,seed,n,schedule,C,B,p_acc,num_trials,T_ref_asap,mean_T_exe,median_T_exe,p90_T_exe,p95_T_exe,p99_T_exe,std_T_exe,mean_ratio_to_T_ref,p95_ratio_to_T_ref,p99_ratio_to_T_ref,mean_stall_cycles,p95_stall_cycles,stall_probability,target_violation_prob_5pct,target_violation_prob_10pct,mean_BacklogArea,p95_BacklogArea,mean_L_backlog,p95_L_backlog
constructed_medium,medium_compressibility,0,24,capacity_aware,2,4,0.9,200,73,81.0,81.0,81.0,81.0,81.0,0.0,1.1095890410958904,1.1095890410958904,1.1095890410958904,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,4,0.9,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,2,4,0.9,200,73,73.16,73.0,74.0,74.0,75.0,0.4054626986542659,1.0021917808219178,1.0136986301369864,1.0273972602739727,0.16,1.0,0.145,0.0,0.0,0.17,1.0,0.16,1.0
constructed_medium,medium_compressibility,0,24,robust_smooth,2,4,0.9,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,capacity_aware,2,4,1.0,200,42,47.0,47.0,47.0,47.0,47.0,0.0,1.119047619047619,1.119047619047619,1.119047619047619,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,smooth,2,4,1.0,200,42,44.0,44.0,44.0,44.0,44.0,0.0,1.0476190476190477,1.0476190476190477,1.0476190476190477,2.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0
multiplier_n8,semi_real_multiplier,0,8,delivery_aware_v2,2,4,1.0,200,42,44.0,44.0,44.0,44.0,44.0,0.0,1.0476190476190477,1.0476190476190477,1.0476190476190477,2.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,4,1.0,200,42,71.0,71.0,71.0,71.0,71.0,0.0,1.6904761904761905,1.6904761904761902,1.6904761904761905,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,capacity_aware,2,4,0.995,200,42,47.0,47.0,47.0,47.0,47.0,0.0,1.119047619047619,1.119047619047619,1.119047619047619,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,smooth,2,4,0.995,200,42,44.355,44.0,45.0,45.0,45.00999999999999,0.4989739472156838,1.0560714285714285,1.0714285714285714,1.0716666666666665,2.355,3.0,1.0,0.345,0.0,4.1,5.0,2.045,2.0
multiplier_n8,semi_real_multiplier,0,8,delivery_aware_v2,2,4,0.995,200,42,44.355,44.0,45.0,45.0,45.00999999999999,0.4989739472156838,1.0560714285714285,1.0714285714285714,1.0716666666666665,2.355,3.0,1.0,0.345,0.0,3.835,5.0,2.315,3.0
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,4,0.995,200,42,71.0,71.0,71.0,71.0,71.0,0.0,1.6904761904761905,1.6904761904761902,1.6904761904761905,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,capacity_aware,2,4,0.99,200,42,47.0,47.0,47.0,47.0,47.0,0.0,1.119047619047619,1.119047619047619,1.119047619047619,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,smooth,2,4,0.99,200,42,44.53,44.0,45.0,45.0,46.0,0.5823229344616268,1.0602380952380954,1.0714285714285714,1.0952380952380953,2.53,3.0,1.0,0.485,0.0,4.2,5.049999999999983,2.095,3.0
multiplier_n8,semi_real_multiplier,0,8,delivery_aware_v2,2,4,0.99,200,42,44.53,44.0,45.0,45.0,46.0,0.5823229344616268,1.0602380952380954,1.0714285714285714,1.0952380952380953,2.53,3.0,1.0,0.485,0.0,3.81,5.0,2.465,3.0
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,4,0.99,200,42,71.0,71.0,71.0,71.0,71.0,0.0,1.6904761904761905,1.6904761904761902,1.6904761904761905,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,capacity_aware,2,4,0.95,200,42,47.07,47.0,47.0,48.0,48.0,0.2740437921208944,1.1207142857142858,1.1428571428571428,1.1428571428571428,0.07,1.0,0.065,1.0,1.0,0.07,1.0,0.07,1.0
multiplier_n8,semi_real_multiplier,0,8,smooth,2,4,0.95,200,42,45.89,46.0,47.0,48.0,48.0,0.9580709785814411,1.0926190476190476,1.1428571428571428,1.1428571428571428,3.89,6.0,1.0,0.965,0.23,5.93,9.0,2.815,4.0
multiplier_n8,semi_real_multiplier,0,8,delivery_aware_v2,2,4,0.95,200,42,45.89,46.0,47.0,48.0,48.0,0.9580709785814411,1.0926190476190476,1.1428571428571428,1.1428571428571428,3.89,6.0,1.0,0.965,0.23,5.105,7.049999999999983,3.55,5.0
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,4,0.95,200,42,71.0,71.0,71.0,71.0,71.0,0.0,1.6904761904761905,1.6904761904761902,1.6904761904761905,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
multiplier_n8,semi_real_multiplier,0,8,capacity_aware,2,4,0.9,200,42,47.985,48.0,49.099999999999994,50.0,51.0,1.0884737020249962,1.1425,1.1904761904761905,1.2142857142857142,0.985,3.0,0.56,1.0,1.0,1.01,3.0,0.98,3.0
multiplier_n8,semi_real_multiplier,0,8,smooth,2,4,0.9,200,42,47.79,48.0,49.099999999999994,50.0,51.0,1.3363756956784272,1.137857142857143,1.1904761904761905,1.2142857142857142,5.79,8.0,1.0,0.995,0.83,8.775,13.0,3.78,5.0
multiplier_n8,semi_real_multiplier,0,8,delivery_aware_v2,2,4,0.9,200,42,47.79,48.0,49.099999999999994,50.0,51.0,1.3363756956784272,1.137857142857143,1.1904761904761905,1.2142857142857142,5.79,8.0,1.0,0.995,0.83,7.515,11.0,4.975,7.0
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,4,0.9,200,42,71.0,71.0,71.0,71.0,71.0,0.0,1.6904761904761905,1.6904761904761902,1.6904761904761905,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,4,1.0,200,26,29.0,29.0,29.0,29.0,29.0,0.0,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,smooth,2,4,1.0,200,26,26.0,26.0,26.0,26.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,4,1.0,200,26,26.0,26.0,26.0,26.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,4,1.0,200,26,33.0,33.0,33.0,33.0,33.0,0.0,1.2692307692307692,1.2692307692307692,1.2692307692307692,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,4,0.995,200,26,29.0,29.0,29.0,29.0,29.0,0.0,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,smooth,2,4,0.995,200,26,26.0,26.0,26.0,26.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,4,0.995,200,26,26.0,26.0,26.0,26.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,4,0.995,200,26,33.0,33.0,33.0,33.0,33.0,0.0,1.2692307692307692,1.2692307692307692,1.2692307692307692,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,4,0.99,200,26,29.0,29.0,29.0,29.0,29.0,0.0,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,smooth,2,4,0.99,200,26,26.0,26.0,26.0,26.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,4,0.99,200,26,26.0,26.0,26.0,26.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,4,0.99,200,26,33.0,33.0,33.0,33.0,33.0,0.0,1.2692307692307692,1.2692307692307692,1.2692307692307692,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,4,0.95,200,26,29.0,29.0,29.0,29.0,29.0,0.0,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,smooth,2,4,0.95,200,26,26.015,26.0,26.0,26.0,26.00999999999999,0.15740076238697195,1.000576923076923,1.0,1.000384615384615,0.015,0.0,0.01,0.005,0.0,0.02,0.0,0.01,0.0
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,4,0.95,200,26,26.03,26.0,26.0,26.0,27.0,0.1977371993328519,1.001153846153846,1.0,1.0384615384615385,0.03,0.0,0.025,0.005,0.0,0.03,0.0,0.03,0.0
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,4,0.95,200,26,33.0,33.0,33.0,33.0,33.0,0.0,1.2692307692307692,1.2692307692307692,1.2692307692307692,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,4,0.9,200,26,29.0,29.0,29.0,29.0,29.0,0.0,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
exact_qft_n8,semi_real_qft,0,8,smooth,2,4,0.9,200,26,26.105,26.0,26.099999999999994,27.0,27.0,0.3224515467477245,1.0040384615384617,1.0384615384615385,1.0384615384615385,0.105,1.0,0.1,0.005,0.0,0.12,1.0,0.1,1.0
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,4,0.9,200,26,26.305,26.0,27.0,27.049999999999983,28.0,0.5585472227126369,1.011730769230769,1.0403846153846148,1.0769230769230769,0.305,1.049999999999983,0.255,0.05,0.0,0.32,2.0,0.295,1.0
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,4,0.9,200,26,33.0,33.0,33.0,33.0,33.0,0.0,1.2692307692307692,1.2692307692307692,1.2692307692307692,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0,1.0,200,82,114.0,114.0,114.0,114.0,114.0,0.0,1.390243902439024,1.3902439024390243,1.3902439024390243,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
